FC6,C4,CP6,CP5,FC5,C3
-317535.15625,206858.34375,-287790.9375,16968.5703125,-346486.8125,138187.34375
-317508.125,206902.703125,-287751.625,16987.408203125,-346432.34375,138203.375
-317510.65625,206917.78125,-287758.6875,17004.9375,-346409.4375,138215.578125
-317484.0625,206910.40625,-287780.9375,17008.173828125,-346395.15625,138215.40625
-317471.53125,206896.53125,-287811.78125,16986.05078125,-346409.96875,138178.46875
-317502.03125,206871.046875,-287834.53125,16935.294921875,-346475.09375,138135.78125
-317492.8125,206888.25,-287784.5,16920.03515625,-346496.9375,138143.796875
-317476.8125,206885.265625,-287758.4375,16935.931640625,-346480.96875,138135.40625
-317458.3125,206880.265625,-287739.6875,16936.6328125,-346437.03125,138131.0
-317468.15625,206894.4375,-287746.6875,16942.375,-346421.875,138125.265625
-317487.375,206885.265625,-287788.34375,16904.5625,-346468.4375,138070.03125
-317482.15625,206915.59375,-287777.1875,16879.416015625,-346513.09375,138043.765625
-317462.25,206935.9375,-287762.65625,16875.041015625,-346541.625,138040.75
-317420.8125,206911.796875,-287778.03125,16834.990234375,-346549.875,138013.421875
-317407.40625,206899.3125,-287778.1875,16834.5625,-346544.25,137994.0
-317420.1875,206887.96875,-287784.3125,16815.73046875,-346540.75,137971.65625
-317428.40625,206891.890625,-287757.75,16806.072265625,-346516.125,137944.859375
-317436.4375,206902.734375,-287725.8125,16803.470703125,-346503.0625,137946.65625
-317431.375,206914.5625,-287701.15625,16787.064453125,-346502.40625,137957.40625
-317436.25,206925.40625,-287684.1875,16808.2265625,-346500.5,137971.828125
-317444.375,206922.40625,-287708.71875,16829.86328125,-346502.1875,138003.84375
-317438.25,206927.953125,-287716.21875,16863.357421875,-346524.5625,138019.0
-317461.375,206911.296875,-287750.6875,16862.74609375,-346554.3125,138003.1875
-317481.0,206875.15625,-287817.8125,16841.4609375,-346552.71875,138004.9375
-317471.9375,206862.640625,-287848.1875,16829.712890625,-346539.78125,137997.71875
-317475.6875,206842.625,-287866.40625,16830.158203125,-346536.15625,137991.125
-317487.875,206845.9375,-287865.8125,16830.734375,-346520.8125,138010.28125
-317514.375,206857.765625,-287829.78125,16824.12890625,-346494.5,138011.875
-317559.09375,206845.875,-287811.53125,16843.82421875,-346517.0625,138005.71875
-317595.625,206854.21875,-287782.6875,16879.91015625,-346550.15625,138016.578125
-317602.0,206868.875,-287768.0625,16912.52734375,-346563.625,138024.578125
-317586.4375,206875.5625,-287793.8125,16902.9453125,-346582.75,138020.203125
-317597.71875,206836.03125,-287844.25,16903.345703125,-346586.0625,138007.21875
-317604.59375,206778.1875,-287883.75,16901.55078125,-346570.46875,138009.28125
-317582.78125,206756.15625,-287879.1875,16900.93359375,-346542.28125,138057.0625
-317575.4375,206755.75,-287860.3125,16913.2734375,-346525.1875,138092.25
-317597.6875,206757.625,-287852.78125,16901.615234375,-346556.3125,138096.6875
-317598.65625,206793.21875,-287861.53125,16894.79296875,-346577.75,138092.84375
-317601.9375,206808.8125,-287853.1875,16890.984375,-346577.46875,138088.140625
-317606.25,206811.828125,-287822.59375,16913.8203125,-346565.875,138097.21875
-317568.3125,206833.125,-287799.59375,16943.73046875,-346536.8125,138134.75
