FC6,C4,CP6,CP5,FC5,C3
-318123.625,205556.390625,-288485.3125,16462.56640625,-345187.75,134269.515625
-318123.875,205601.421875,-288454.75,16468.73046875,-345179.375,134286.484375
-318102.375,205628.953125,-288432.1875,16492.47265625,-345191.5625,134288.84375
-318066.5,205659.828125,-288409.90625,16509.48828125,-345202.9375,134290.90625
-318026.8125,205679.28125,-288375.75,16501.830078125,-345196.5625,134297.21875
-317986.875,205688.828125,-288366.9375,16479.103515625,-345214.5,134280.109375
-317988.40625,205689.15625,-288356.5,16452.87109375,-345208.84375,134257.875
-317972.28125,205695.84375,-288339.78125,16449.658203125,-345186.0625,134258.78125
-317948.6875,205725.671875,-288301.0,16474.0546875,-345185.25,134275.53125
-317951.71875,205757.359375,-288275.0625,16510.76171875,-345176.875,134323.15625
-317984.0625,205790.8125,-288270.40625,16538.2890625,-345170.28125,134369.515625
-318010.53125,205828.515625,-288236.90625,16561.9921875,-345153.21875,134393.8125
-318019.6875,205807.25,-288243.9375,16534.84375,-345155.28125,134375.75
-318025.625,205768.6875,-288270.5625,16517.541015625,-345195.9375,134350.109375
-318004.5625,205747.375,-288274.625,16520.65234375,-345193.59375,134346.171875
-317965.6875,205736.234375,-288315.875,16515.09765625,-345182.0,134363.1875
-317963.1875,205735.9375,-288320.625,16512.640625,-345168.0625,134366.5
-317973.5625,205747.40625,-288292.625,16494.93359375,-345142.03125,134370.578125
-317958.1875,205767.171875,-288272.46875,16482.412109375,-345117.875,134385.84375
-317977.53125,205769.1875,-288274.96875,16497.912109375,-345102.03125,134399.65625
-318043.0625,205749.328125,-288310.21875,16521.134765625,-345112.1875,134389.84375
-318067.375,205746.09375,-288328.4375,16539.69140625,-345072.9375,134368.78125
-318074.9375,205717.578125,-288362.5,16516.669921875,-345074.25,134344.40625
-318069.375,205707.203125,-288390.6875,16491.41796875,-345102.125,134318.046875
-318019.125,205713.0,-288418.4375,16465.9296875,-345106.40625,134316.25
-317968.375,205685.234375,-288443.9375,16465.046875,-345127.3125,134318.8125
-317960.1875,205658.671875,-288451.75,16472.263671875,-345154.4375,134302.40625
-318021.75,205626.34375,-288461.0625,16462.9375,-345181.5625,134273.140625
-318071.6875,205599.828125,-288471.9375,16491.05078125,-345159.3125,134284.78125
-318105.4375,205557.0625,-288499.125,16477.681640625,-345147.71875,134283.40625
-318187.5625,205478.84375,-288547.4375,16475.3828125,-345158.875,134255.75
-318240.5625,205409.09375,-288598.1875,16468.87109375,-345147.875,134224.890625
-318245.90625,205365.875,-288642.1875,16447.3671875,-345151.53125,134219.828125
-318290.78125,205293.96875,-288690.53125,16433.15234375,-345163.25,134201.6875
-318314.0,205255.21875,-288729.09375,16426.828125,-345174.5625,134190.96875
-318304.5,205210.9375,-288757.0,16406.0859375,-345217.875,134179.59375
-318324.0625,205120.765625,-288780.0,16379.9658203125,-345244.3125,134141.6875
-318341.875,205069.828125,-288773.9375,16401.93359375,-345220.5625,134138.828125
-318359.5625,205024.359375,-288766.09375,16404.869140625,-345198.125,134139.21875
-318382.65625,204983.734375,-288765.40625,16415.021484375,-345200.78125,134151.46875
-318419.65625,204968.84375,-288784.75,16424.84765625,-345208.53125,134134.1875
-318439.125,204992.65625,-288793.25,16405.171875,-345227.78125,134097.71875
-318408.1875,205033.0625,-288769.4375,16394.955078125,-345236.875,134110.234375
-318386.6875,205069.125,-288753.3125,16378.08984375,-345252.78125,134113.75
-318336.90625,205118.0,-288710.8125,16381.8671875,-345256.0,134118.203125
-318269.6875,205193.34375,-288665.125,16390.2578125,-345271.75,134129.578125
-318255.9375,205261.96875,-288652.9375,16373.341796875,-345286.0,134112.71875
-318239.6875,205316.15625,-288617.59375,16370.591796875,-345265.0625,134113.0
-318232.90625,205388.921875,-288568.59375,16385.998046875,-345266.4375,134136.15625
-318232.375,205441.71875,-288535.34375,16418.42578125,-345274.3125,134167.21875
-318244.28125,205488.65625,-288495.625,16454.62109375,-345272.0,134197.53125
-318245.78125,205534.421875,-288487.15625,16441.8125,-345278.1875,134169.625
-318204.125,205566.171875,-288490.5,16415.98046875,-345289.125,134141.25
-318179.5625,205571.53125,-288478.46875,16392.6015625,-345273.78125,134132.4375
-318135.75,205586.71875,-288459.71875,16381.1318359375,-345245.53125,134131.234375
-318060.75,205642.125,-288429.0625,16404.349609375,-345203.3125,134160.921875
-318027.0625,205688.46875,-288384.0,16440.908203125,-345156.9375,134196.59375
-318009.375,205724.3125,-288347.90625,16467.37890625,-345133.6875,134236.515625
-317998.9375,205755.875,-288321.5,16475.9921875,-345132.5625,134256.71875
-318004.5625,205773.984375,-288310.78125,16475.01953125,-345158.125,134272.40625
-318053.96875,205742.296875,-288329.125,16458.45703125,-345180.53125,134281.046875
-318073.6875,205746.25,-288342.15625,16465.45703125,-345160.53125,134294.46875
-318041.21875,205769.34375,-288342.3125,16478.69921875,-345135.25,134333.640625
-318026.125,205722.515625,-288352.625,16451.05078125,-345127.8125,134356.953125
-318033.3125,205683.828125,-288384.375,16411.91015625,-345180.125,134342.546875
-318031.5,205681.15625,-288396.125,16383.90625,-345251.625,134318.421875
-318012.15625,205658.78125,-288411.5,16379.880859375,-345256.8125,134289.65625
-318027.46875,205663.125,-288418.75,16407.45703125,-345241.53125,134302.65625
-318010.8125,205677.3125,-288404.15625,16416.37109375,-345227.9375,134325.125
-318023.625,205647.96875,-288412.25,16409.73046875,-345206.5,134309.1875
-318059.25,205626.625,-288420.0,16428.53515625,-345197.25,134313.875
-318068.53125,205605.0625,-288432.125,16434.4765625,-345201.6875,134296.46875
-318070.6875,205569.09375,-288465.0,16442.296875,-345198.1875,134277.6875
-318102.34375,205516.8125,-288520.5625,16420.10546875,-345222.8125,134261.09375
-318137.75,205473.59375,-288578.78125,16403.689453125,-345263.03125,134242.5625
-318115.21875,205464.1875,-288589.0625,16425.7890625,-345239.5,134235.109375
-318107.0,205467.640625,-288573.1875,16427.900390625,-345187.90625,134237.75
-318112.8125,205452.21875,-288589.15625,16407.1796875,-345174.90625,134211.09375
-318124.5625,205435.8125,-288591.8125,16387.091796875,-345174.3125,134195.71875
-318138.65625,205433.25,-288569.40625,16391.001953125,-345161.90625,134206.15625
-318184.8125,205414.671875,-288568.875,16389.66015625,-345153.5,134210.984375
-318202.15625,205396.421875,-288589.1875,16396.1640625,-345140.3125,134234.4375
-318169.875,205394.25,-288597.6875,16402.44140625,-345142.96875,134250.6875
-318190.34375,205350.84375,-288627.53125,16378.365234375,-345159.5625,134244.25
-318193.375,205304.46875,-288671.28125,16358.486328125,-345185.90625,134216.0
-318169.03125,205282.0,-288680.40625,16362.8720703125,-345173.6875,134214.3125
-318200.0625,205237.375,-288675.28125,16329.865234375,-345171.9375,134205.171875
-318240.71875,205185.125,-288675.375,16327.748046875,-345159.625,134207.375
-318248.375,205170.109375,-288664.1875,16361.1591796875,-345135.3125,134213.15625
-318294.78125,205147.390625,-288651.21875,16351.017578125,-345137.46875,134201.09375
-318347.875,205095.5625,-288672.21875,16345.4853515625,-345109.40625,134192.46875
-318367.375,205083.59375,-288706.03125,16341.8720703125,-345129.5,134187.34375
-318364.28125,205060.4375,-288714.5625,16330.4140625,-345179.6875,134179.78125
-318346.5,205044.640625,-288742.25,16331.26171875,-345212.5625,134175.21875
-318318.53125,205059.03125,-288765.3125,16334.8515625,-345236.3125,134163.65625
-318289.21875,205082.0625,-288744.8125,16331.474609375,-345270.4375,134133.4375
-318284.875,205113.765625,-288707.5625,16314.310546875,-345279.375,134128.921875
-318298.0,205132.40625,-288674.75,16314.583984375,-345278.25,134125.015625
-318327.21875,205165.515625,-288658.40625,16322.412109375,-345296.40625,134105.125
-318340.375,205200.875,-288630.6875,16335.6142578125,-345304.3125,134110.8125
-318333.75,205252.015625,-288601.8125,16381.939453125,-345271.03125,134133.84375
-318299.9375,205340.4375,-288547.5,16423.21484375,-345239.75,134178.78125
-318232.3125,205432.578125,-288481.375,16463.837890625,-345207.78125,134242.09375
-318185.09375,205495.1875,-288440.625,16489.03515625,-345164.90625,134282.65625
-318171.625,205524.640625,-288419.9375,16477.103515625,-345166.3125,134293.0625
-318132.3125,205549.5625,-288417.90625,16465.8828125,-345192.59375,134291.671875
-318098.125,205574.71875,-288407.1875,16470.384765625,-345193.84375,134306.265625
-318102.875,205611.40625,-288396.5625,16475.109375,-345174.125,134348.515625
-318086.0625,205642.90625,-288378.65625,16501.03515625,-345146.8125,134384.25
-318074.5625,205658.5,-288379.5625,16502.04296875,-345122.125,134397.828125
-318107.5625,205660.65625,-288385.15625,16481.3046875,-345104.5,134401.328125
-318119.1875,205662.4375,-288361.5,16498.47265625,-345094.875,134401.90625
-318126.5625,205675.0625,-288382.25,16485.947265625,-345112.46875,134393.40625
-318132.8125,205670.765625,-288389.4375,16484.71484375,-345137.8125,134385.75
-318097.25,205647.4375,-288402.28125,16481.572265625,-345201.375,134357.96875
-318067.5625,205637.375,-288429.78125,16435.181640625,-345230.5625,134318.28125
-318042.375,205634.34375,-288417.625,16411.33203125,-345206.875,134310.375
-318049.65625,205614.9375,-288394.84375,16426.79296875,-345195.6875,134311.046875
-318053.625,205616.59375,-288383.71875,16410.17578125,-345174.09375,134316.515625
-318067.625,205614.125,-288378.8125,16408.4609375,-345150.4375,134310.65625
-318107.78125,205617.15625,-288393.6875,16409.1875,-345130.03125,134304.59375
-318137.5,205621.8125,-288403.75,16395.173828125,-345135.25,134293.71875
-318150.9375,205617.953125,-288416.5625,16414.673828125,-345129.15625,134279.765625
-318148.71875,205599.421875,-288455.4375,16396.16015625,-345148.59375,134271.09375
-318133.625,205573.203125,-288473.3125,16399.50390625,-345182.53125,134252.5625
-318116.8125,205560.0,-288484.375,16407.70703125,-345167.4375,134248.40625
-318138.40625,205534.21875,-288481.5625,16413.658203125,-345166.3125,134251.203125
-318170.75,205499.21875,-288478.875,16435.578125,-345163.3125,134265.65625
-318165.0625,205494.875,-288477.8125,16463.7734375,-345123.28125,134300.3125
-318158.5625,205500.15625,-288465.1875,16505.173828125,-345095.5,134322.625
-318207.25,205454.890625,-288496.40625,16500.353515625,-345103.40625,134327.84375
-318239.375,205436.65625,-288552.21875,16484.18359375,-345118.625,134321.734375
-318264.875,205395.453125,-288605.53125,16458.111328125,-345148.25,134323.234375
-318261.0,205337.71875,-288630.15625,16438.13671875,-345143.6875,134324.421875
-318232.0,205316.375,-288636.1875,16447.962890625,-345108.40625,134325.234375
-318208.75,205294.40625,-288641.90625,16434.359375,-345104.0,134312.40625
-318190.25,205308.703125,-288629.375,16422.2734375,-345133.25,134297.28125
-318180.875,205313.578125,-288614.0625,16424.041015625,-345133.625,134298.671875
-318165.6875,205347.96875,-288575.21875,16437.15625,-345141.96875,134308.390625
-318189.1875,205366.890625,-288532.90625,16444.00390625,-345146.15625,134313.390625
-318238.625,205356.609375,-288542.9375,16462.61328125,-345132.1875,134297.5625
-318264.15625,205351.40625,-288577.4375,16441.146484375,-345161.3125,134250.515625
-318226.125,205375.53125,-288572.90625,16405.484375,-345189.9375,134233.3125
-318199.40625,205390.78125,-288552.6875,16390.57421875,-345228.96875,134217.921875
-318182.375,205372.375,-288558.9375,16302.939453125,-345271.21875,134166.484375
-318156.5625,205384.375,-288571.1875,16255.8134765625,-345309.875,134144.640625
-318151.6875,205389.09375,-288573.4375,16286.4140625,-345311.4375,134151.265625
-318152.625,205412.78125,-288566.3125,16305.20703125,-345287.4375,134151.546875
-318155.4375,205439.1875,-288509.5,16330.3837890625,-345268.1875,134193.984375
-318171.4375,205464.625,-288466.0625,16349.111328125,-345252.40625,134230.828125
-318192.0625,205469.875,-288447.8125,16339.55859375,-345263.6875,134222.40625
-318167.3125,205492.21875,-288447.78125,16365.126953125,-345254.3125,134249.125
-318117.46875,205535.15625,-288429.84375,16408.447265625,-345220.5625,134283.359375
-318096.21875,205540.515625,-288415.625,16401.208984375,-345204.53125,134280.28125
-318094.4375,205557.703125,-288425.875,16386.25,-345203.625,134257.828125
-318071.5,205558.265625,-288420.875,16387.5390625,-345218.6875,134253.625
-318046.5,205549.09375,-288411.8125,16389.3984375,-345227.90625,134256.84375
-318061.9375,205552.4375,-288394.6875,16382.783203125,-345212.25,134261.84375
-318047.1875,205556.625,-288369.875,16390.349609375,-345187.125,134269.21875
