FC6,C4,CP6,CP5,FC5,C3
-317033.25,206426.796875,-287847.125,16561.23046875,-345329.5625,135956.953125
-316998.8125,206438.140625,-287809.71875,16606.41796875,-345305.3125,135978.8125
-317001.0,206446.328125,-287803.125,16633.02734375,-345335.53125,135969.484375
-317018.9375,206421.296875,-287858.625,16613.73828125,-345365.9375,135958.765625
-317032.0,206409.515625,-287916.375,16636.666015625,-345363.9375,135957.109375
-317043.3125,206403.46875,-287905.5,16657.876953125,-345352.9375,135985.84375
-317025.3125,206393.21875,-287880.90625,16680.72265625,-345337.25,136034.125
-317022.6875,206408.53125,-287879.0,16702.376953125,-345333.5,136061.90625
-317048.4375,206403.625,-287885.625,16708.00390625,-345324.125,136075.53125
-317113.125,206356.640625,-287931.40625,16696.1953125,-345344.40625,136060.28125
-317155.3125,206311.109375,-287970.8125,16717.447265625,-345345.8125,136053.625
-317150.0625,206313.546875,-287966.75,16732.357421875,-345312.9375,136084.3125
-317178.09375,206287.53125,-287965.875,16691.734375,-345317.6875,136066.078125
-317196.15625,206271.59375,-287990.78125,16680.42578125,-345320.9375,136031.125
-317195.09375,206271.140625,-287989.0625,16682.18359375,-345329.4375,136019.34375
-317203.96875,206239.09375,-288005.625,16673.46875,-345379.9375,135993.25
-317208.125,206216.375,-288051.6875,16682.21484375,-345413.0625,135977.4375
-317210.75,206230.875,-288051.25,16682.328125,-345408.6875,135972.0625
-317224.3125,206224.34375,-288055.8125,16674.359375,-345383.25,135964.65625
-317283.3125,206205.90625,-288066.6875,16675.38671875,-345371.3125,135952.3125
-317302.625,206210.0,-288051.75,16685.7421875,-345365.5,135978.03125
-317282.125,206206.875,-288056.625,16682.15625,-345366.25,135979.78125
-317277.875,206186.40625,-288070.46875,16638.546875,-345380.34375,135971.375
-317259.4375,206166.515625,-288086.8125,16635.673828125,-345395.53125,135975.28125
-317216.8125,206150.578125,-288076.125,16609.58984375,-345403.4375,135972.65625
-317191.8125,206133.703125,-288043.53125,16591.16796875,-345414.75,135969.59375
-317200.875,206147.03125,-288036.5,16594.484375,-345434.15625,135971.625
-317187.3125,206184.734375,-288013.625,16578.265625,-345433.0625,135989.96875
-317172.40625,206214.25,-287980.6875,16598.8515625,-345415.375,136000.578125
-317208.78125,206235.265625,-287992.21875,16601.90234375,-345424.0625,135985.96875
-317230.28125,206246.0,-287996.1875,16592.47265625,-345399.0625,135957.84375
-317198.1875,206261.40625,-287988.6875,16576.46875,-345388.1875,135926.09375
-317170.8125,206263.03125,-288018.1875,16536.9921875,-345430.375,135878.46875
-317146.25,206268.53125,-288031.25,16521.44140625,-345444.9375,135903.0
-317095.75,206279.375,-288016.8125,16516.16796875,-345443.875,135896.875
-317073.125,206284.65625,-288025.6875,16503.27734375,-345449.21875,135865.3125
-317072.5,206304.21875,-288008.6875,16526.67578125,-345407.96875,135889.140625
-317060.96875,206327.75,-287964.375,16561.953125,-345364.125,135904.9375
-317072.375,206357.5625,-287961.0625,16578.78125,-345340.875,135924.6875
-317111.9375,206363.953125,-287957.6875,16583.12109375,-345343.03125,135924.40625
-317123.15625,206383.78125,-287920.8125,16597.44140625,-345332.9375,135936.75
-317122.0,206392.96875,-287941.21875,16578.744140625,-345320.0,135932.125
-317136.3125,206381.78125,-287967.0625,16572.67578125,-345333.9375,135926.375
-317156.4375,206324.78125,-288012.625,16545.310546875,-345317.09375,135927.875
-317134.875,206281.34375,-288056.53125,16541.189453125,-345312.0,135938.375
-317105.9375,206275.84375,-288047.28125,16549.046875,-345310.15625,135928.0
-317140.84375,206257.328125,-288046.5,16558.7109375,-345316.4375,135942.578125
-317171.0,206279.65625,-288035.0,16565.462890625,-345348.75,135969.3125
-317211.3125,206276.09375,-288046.3125,16551.34765625,-345369.28125,135925.671875
-317243.8125,206254.0625,-288058.8125,16561.91015625,-345369.78125,135910.6875
-317216.0625,206260.40625,-288026.4375,16568.05859375,-345363.3125,135922.65625
-317182.15625,206262.625,-287999.6875,16584.6640625,-345347.34375,135922.53125
-317143.0,206282.4375,-288006.0,16598.6015625,-345350.34375,135936.828125
-317120.3125,206293.53125,-288012.75,16597.79296875,-345340.6875,135966.84375
-317083.09375,206293.84375,-287999.21875,16614.1875,-345361.96875,135971.53125
-317039.8125,206321.078125,-287989.09375,16626.26171875,-345387.3125,135979.78125
-317052.40625,206327.0625,-287980.0625,16635.080078125,-345377.5625,135997.03125
-317079.90625,206315.140625,-287971.0,16625.330078125,-345389.375,136000.703125
-317099.9375,206312.09375,-287976.125,16609.056640625,-345373.03125,135999.28125
-317139.5625,206303.4375,-287966.875,16638.26171875,-345340.625,136006.640625
-317160.9375,206310.328125,-287956.3125,16690.626953125,-345333.90625,136045.203125
-317128.28125,206340.71875,-287967.0,16683.6796875,-345318.53125,136066.46875
-317116.28125,206348.5,-287971.875,16671.56640625,-345280.75,136083.453125
-317104.75,206341.4375,-287960.4375,16705.224609375,-345278.9375,136096.578125
-317079.375,206338.34375,-287937.65625,16707.306640625,-345291.1875,136078.75
-317085.9375,206314.6875,-287924.65625,16736.54296875,-345295.5625,136084.0
-317088.3125,206301.375,-287936.90625,16746.927734375,-345334.0625,136071.5
-317087.46875,206310.90625,-287937.3125,16724.796875,-345329.9375,136082.8125
-317116.1875,206313.5625,-287928.5,16696.767578125,-345309.0625,136088.015625
-317136.625,206300.0,-287912.0625,16713.8359375,-345324.625,136087.6875
-317148.125,206318.59375,-287900.6875,16754.26953125,-345326.1875,136106.703125
-317136.625,206337.5625,-287895.5625,16740.71484375,-345361.21875,136109.65625
-317116.03125,206335.1875,-287875.4375,16729.693359375,-345376.0625,136111.03125
-317093.53125,206353.59375,-287863.1875,16750.572265625,-345358.3125,136127.328125
-317082.75,206341.6875,-287854.125,16735.1328125,-345371.0625,136131.65625
-317097.3125,206304.296875,-287849.375,16707.2109375,-345364.125,136100.765625
-317105.5625,206294.6875,-287880.03125,16693.36328125,-345377.6875,136076.78125
-317127.5625,206293.53125,-287896.0,16656.98046875,-345396.25,136045.703125
-317178.625,206273.15625,-287894.15625,16613.19140625,-345367.65625,136012.5
-317227.03125,206257.578125,-287903.875,16594.58984375,-345344.375,135998.96875
-317212.8125,206281.6875,-287892.59375,16613.603515625,-345332.5,136010.75
-317187.8125,206319.34375,-287893.34375,16617.2890625,-345351.625,135999.90625
-317203.3125,206302.734375,-287940.25,16587.8203125,-345363.6875,135960.34375
-317190.3125,206281.65625,-287981.625,16567.734375,-345386.125,135921.453125
-317154.25,206273.78125,-288005.25,16528.146484375,-345426.90625,135873.6875
-317151.3125,206251.265625,-288007.6875,16507.615234375,-345430.625,135859.15625
-317140.25,206273.6875,-287983.15625,16523.44140625,-345433.9375,135863.234375
-317131.4375,206301.0625,-287959.0,16534.06640625,-345412.25,135874.6875
-317172.90625,206283.84375,-287978.78125,16525.234375,-345372.40625,135881.9375
-317224.09375,206265.59375,-287994.125,16532.76953125,-345377.4375,135884.15625
-317238.78125,206277.09375,-288008.4375,16546.2890625,-345389.6875,135894.71875
-317225.6875,206257.5625,-288046.09375,16514.8515625,-345395.5625,135883.78125
-317250.71875,206230.8125,-288061.4375,16510.205078125,-345408.5625,135865.703125
-317233.25,206217.640625,-288063.375,16529.3203125,-345375.1875,135885.21875
-317171.875,206214.40625,-288068.28125,16534.306640625,-345361.875,135901.625
-317145.125,206236.8125,-288052.09375,16552.525390625,-345371.4375,135934.671875
-317140.75,206220.28125,-288052.09375,16562.71484375,-345405.375,135944.109375
-317166.09375,206205.0,-288050.5,16530.875,-345454.625,135902.984375
-317197.8125,206221.75,-288047.375,16524.3125,-345473.4375,135918.0625
-317222.75,206223.890625,-288050.34375,16562.580078125,-345467.8125,135928.390625
-317245.65625,206222.75,-288029.6875,16563.02734375,-345453.65625,135939.78125
-317277.3125,206204.015625,-288084.8125,16533.2890625,-345469.0625,135903.078125
-317297.09375,206166.203125,-288113.9375,16529.30859375,-345482.9375,135847.5
-317286.0625,206142.65625,-288082.875,16519.68359375,-345491.5625,135825.59375
-317249.1875,206125.84375,-288096.03125,16518.9765625,-345491.9375,135806.03125
-317227.21875,206141.09375,-288075.875,16533.25,-345485.3125,135834.6875
-317194.6875,206142.71875,-288053.71875,16523.783203125,-345501.75,135834.953125
-317179.8125,206143.5625,-288059.3125,16503.44921875,-345507.25,135844.71875
-317204.4375,206162.71875,-288052.75,16499.9609375,-345484.375,135875.59375
-317219.15625,206188.03125,-288024.0,16514.822265625,-345476.4375,135888.203125
-317232.0,206191.71875,-288021.75,16538.6484375,-345451.375,135909.3125
-317236.3125,206190.953125,-288040.5,16537.173828125,-345438.0625,135896.609375
-317191.3125,206194.515625,-288015.71875,16542.33984375,-345417.9375,135895.03125
-317166.40625,206169.59375,-288034.71875,16552.02734375,-345411.8125,135906.890625
-317145.75,206166.0625,-288043.6875,16537.77734375,-345413.40625,135900.78125
-317107.4375,206184.125,-288019.125,16559.13671875,-345425.1875,135924.015625
-317117.3125,206208.0,-288019.59375,16584.8671875,-345457.65625,135942.015625
-317108.78125,206215.15625,-287983.78125,16587.66015625,-345456.4375,135944.71875
-317144.8125,206202.875,-287960.84375,16591.64453125,-345440.375,135958.8125
-317217.5,206173.453125,-287983.15625,16587.37109375,-345431.78125,135951.78125
-317244.6875,206153.15625,-287984.5625,16564.212890625,-345475.90625,135934.125
-317227.625,206153.0,-287961.375,16546.78515625,-345505.71875,135905.625
-317182.875,206163.34375,-287921.40625,16553.484375,-345509.53125,135905.40625
-317166.75,206182.09375,-287933.8125,16565.94921875,-345533.125,135873.0625
-317155.0625,206190.875,-287947.75,16566.54296875,-345514.625,135850.1875
-317121.46875,206195.34375,-287936.625,16592.7265625,-345469.5,135875.765625
-317118.5,206222.15625,-287922.90625,16614.88671875,-345488.6875,135890.015625
-317126.9375,206253.65625,-287889.5625,16626.53515625,-345505.65625,135911.25
-317132.65625,206279.390625,-287869.4375,16641.99609375,-345479.25,135932.1875
