FC6,C4,CP6,CP5,FC5,C3
-317804.0625,205904.375,-288254.8125,16519.109375,-345464.71875,135266.75
-317780.28125,205922.21875,-288246.75,16536.12890625,-345448.15625,135268.25
-317757.5,205936.890625,-288240.40625,16531.857421875,-345453.8125,135260.8125
-317745.125,205920.3125,-288245.15625,16518.2890625,-345475.5,135245.46875
-317691.4375,205917.9375,-288250.125,16505.951171875,-345492.6875,135248.390625
-317638.53125,205935.6875,-288230.15625,16497.4453125,-345497.46875,135260.5
-317631.4375,205939.125,-288204.03125,16500.56640625,-345478.875,135268.515625
-317602.8125,205947.40625,-288177.1875,16520.7109375,-345452.25,135302.96875
-317592.75,205986.96875,-288138.375,16553.533203125,-345435.6875,135315.125
-317621.8125,205994.078125,-288126.15625,16572.828125,-345428.5625,135302.09375
-317656.125,205974.9375,-288144.75,16540.693359375,-345433.875,135297.8125
-317646.625,205986.578125,-288158.4375,16532.68359375,-345415.4375,135304.390625
-317627.0,206000.890625,-288147.75,16568.19921875,-345404.0,135325.21875
-317625.5625,205986.75,-288180.3125,16560.55078125,-345421.53125,135331.671875
-317600.625,206002.09375,-288195.15625,16549.083984375,-345448.53125,135332.21875
-317613.96875,205980.453125,-288216.9375,16535.51953125,-345506.5,135318.625
-317667.53125,205923.375,-288261.4375,16516.81640625,-345537.9375,135301.9375
-317690.9375,205922.8125,-288251.3125,16531.47265625,-345527.03125,135304.90625
-317699.09375,205928.6875,-288217.0625,16568.66796875,-345487.1875,135309.640625
-317747.78125,205922.328125,-288215.125,16592.908203125,-345456.5625,135311.71875
-317779.1875,205933.140625,-288217.3125,16584.25390625,-345463.875,135311.359375
-317777.21875,205944.953125,-288209.96875,16578.61328125,-345465.03125,135302.71875
-317768.5625,205949.28125,-288224.53125,16577.875,-345472.09375,135296.40625
-317740.1875,205961.0625,-288214.5625,16575.0234375,-345496.59375,135290.09375
-317682.5,205984.09375,-288197.125,16568.740234375,-345487.34375,135296.46875
-317642.6875,205998.265625,-288181.28125,16585.6953125,-345472.75,135316.015625
-317642.75,205995.875,-288163.6875,16619.197265625,-345466.8125,135329.65625
-317683.9375,205988.59375,-288170.90625,16589.8671875,-345457.28125,135316.0
-317708.5625,205977.796875,-288180.0625,16538.8125,-345462.40625,135295.546875
-317719.3125,205990.40625,-288160.5625,16554.14453125,-345452.1875,135311.65625
-317721.8125,206042.4375,-288141.0625,16582.123046875,-345420.65625,135322.03125
-317691.5625,206050.453125,-288146.25,16592.36328125,-345406.5,135324.0
-317692.5625,206031.125,-288154.125,16592.8359375,-345414.15625,135287.03125
-317695.78125,206020.6875,-288159.375,16562.75390625,-345427.25,135243.640625
-317689.5625,205993.59375,-288159.40625,16527.212890625,-345463.53125,135251.21875
-317668.875,206003.515625,-288152.40625,16531.31640625,-345456.5625,135259.9375
-317646.1875,206015.46875,-288132.625,16517.40625,-345446.15625,135251.3125
-317666.03125,206001.84375,-288127.625,16483.40625,-345469.25,135258.09375
-317678.65625,206024.6875,-288131.09375,16495.5,-345449.28125,135278.15625
-317693.90625,206048.125,-288119.0625,16501.56640625,-345438.5625,135303.078125
-317716.5625,206040.125,-288109.625,16509.181640625,-345449.3125,135331.0625
-317725.0625,206024.375,-288144.03125,16533.3671875,-345431.5625,135348.234375
-317735.78125,206007.8125,-288184.0,16516.41796875,-345422.875,135345.9375
-317757.40625,205983.1875,-288210.625,16501.01953125,-345430.5625,135323.53125
-317733.375,205961.765625,-288239.25,16533.72265625,-345406.84375,135315.0625
-317684.625,205955.28125,-288230.1875,16559.197265625,-345392.125,135315.03125
-317699.875,205930.125,-288220.75,16549.24609375,-345403.4375,135297.75
-317729.5,205915.21875,-288226.15625,16545.41015625,-345433.25,135284.5
-317726.96875,205939.0625,-288211.5625,16554.859375,-345457.125,135288.25
-317755.78125,205929.4375,-288225.90625,16545.17578125,-345466.15625,135291.65625
-317765.90625,205908.453125,-288252.40625,16540.54296875,-345469.59375,135287.109375
-317762.46875,205906.890625,-288259.8125,16535.251953125,-345472.9375,135280.4375
-317783.4375,205893.90625,-288296.0625,16502.216796875,-345470.1875,135253.5625
-317774.4375,205900.71875,-288312.40625,16478.728515625,-345478.9375,135216.4375
-317706.75,205911.8125,-288301.3125,16485.529296875,-345457.875,135189.625
-317636.0625,205911.28125,-288292.1875,16517.203125,-345427.46875,135183.140625
-317658.90625,205939.0625,-288271.40625,16552.26171875,-345435.03125,135221.375
-317674.15625,205961.625,-288251.4375,16566.037109375,-345411.65625,135257.75
-317667.8125,205972.40625,-288216.5,16574.328125,-345400.53125,135282.59375
-317689.4375,205998.3125,-288189.4375,16588.5078125,-345393.1875,135307.78125
-317701.6875,205971.1875,-288200.40625,16584.73046875,-345382.5625,135325.28125
-317692.75,205975.6875,-288216.5625,16600.7890625,-345393.3125,135346.5625
-317691.3125,206008.28125,-288232.34375,16604.162109375,-345413.6875,135376.234375
-317682.4375,205986.09375,-288245.03125,16597.923828125,-345420.15625,135385.140625
-317638.125,205985.5625,-288235.9375,16608.8828125,-345413.8125,135382.71875
-317633.4375,205993.15625,-288220.4375,16610.697265625,-345420.875,135376.34375
-317665.59375,205954.78125,-288236.1875,16615.4375,-345423.78125,135367.25
