FC6,C4,CP6,CP5,FC5,C3
-320635.375,199541.5625,-296673.8125,12777.673828125,-345731.1875,122302.921875
-320667.53125,199523.34375,-296679.0,12796.4072265625,-345768.1875,122311.6953125
-320667.5625,199490.5,-296700.1875,12778.2509765625,-345805.4375,122300.734375
-320638.84375,199493.6875,-296693.0,12770.544921875,-345809.90625,122306.46875
-320637.09375,199484.34375,-296702.0625,12774.5693359375,-345809.125,122307.015625
-320636.4375,199468.875,-296714.5,12768.853515625,-345818.03125,122285.53125
-320584.84375,199516.0,-296665.65625,12767.26171875,-345795.03125,122279.3125
-320546.25,199567.75,-296628.03125,12786.84765625,-345775.75,122292.4140625
-320529.65625,199602.6875,-296630.625,12756.8515625,-345777.90625,122287.0390625
-320474.0625,199672.578125,-296578.03125,12734.607421875,-345756.25,122283.703125
-320453.625,199736.765625,-296531.09375,12766.166015625,-345732.3125,122322.0390625
-320457.375,199765.21875,-296524.25,12769.958984375,-345739.125,122347.15625
-320460.125,199788.09375,-296518.0,12760.3740234375,-345750.0,122328.4140625
-320442.6875,199809.09375,-296529.90625,12750.2158203125,-345759.625,122311.4140625
-320433.34375,199817.5,-296551.75,12745.107421875,-345781.4375,122296.984375
-320384.75,199809.90625,-296538.40625,12715.7890625,-345757.0625,122276.453125
-320329.875,199816.09375,-296526.125,12697.7021484375,-345736.0625,122267.9375
-320340.90625,199819.59375,-296539.0625,12704.0224609375,-345740.25,122249.96875
-320338.6875,199827.21875,-296534.65625,12719.7646484375,-345735.5,122242.6953125
-320360.75,199839.34375,-296538.8125,12724.3720703125,-345738.8125,122246.890625
-320393.40625,199868.78125,-296517.65625,12746.013671875,-345727.5,122273.328125
-320419.125,199882.96875,-296502.09375,12755.83203125,-345717.625,122290.2109375
-320447.75,199875.96875,-296529.875,12732.8564453125,-345708.3125,122292.453125
-320453.25,199879.640625,-296527.5625,12736.1181640625,-345709.21875,122306.28125
-320473.5,199860.0625,-296537.8125,12718.9208984375,-345730.21875,122294.765625
-320472.65625,199850.40625,-296565.15625,12703.96484375,-345742.65625,122291.0625
-320473.0,199835.71875,-296575.1875,12696.40625,-345758.1875,122300.96875
-320497.5,199816.0,-296589.28125,12685.994140625,-345780.3125,122307.890625
-320515.5625,199804.09375,-296584.0625,12692.93359375,-345799.90625,122325.546875
-320514.625,199809.453125,-296562.25,12720.9931640625,-345771.625,122344.03125
-320492.25,199828.3125,-296535.0,12736.3125,-345743.8125,122361.1875
-320536.875,199823.65625,-296530.6875,12737.205078125,-345734.0,122352.296875
-320542.5,199816.453125,-296566.9375,12741.361328125,-345711.375,122354.171875
-320549.9375,199810.65625,-296597.75,12742.689453125,-345721.71875,122373.828125
-320582.625,199777.609375,-296637.3125,12727.7294921875,-345757.25,122364.46875
-320571.75,199755.578125,-296669.28125,12728.58984375,-345754.5,122355.5390625
-320557.6875,199745.40625,-296663.875,12732.546875,-345726.9375,122370.078125
-320560.0,199726.40625,-296660.75,12724.9736328125,-345730.5,122376.9765625
-320573.0625,199716.09375,-296652.96875,12726.38671875,-345721.5625,122393.609375
-320591.25,199718.09375,-296640.3125,12740.05859375,-345714.28125,122410.78125
-320613.75,199732.078125,-296649.25,12777.5673828125,-345717.9375,122424.015625
-320620.125,199726.625,-296650.5625,12782.978515625,-345719.1875,122440.59375
-320598.3125,199719.28125,-296643.40625,12807.572265625,-345702.625,122457.6875
-320586.625,199694.4375,-296653.90625,12811.353515625,-345688.375,122468.34375
-320600.8125,199651.5,-296673.8125,12773.27734375,-345724.3125,122426.703125
-320609.625,199605.25,-296706.5,12761.38671875,-345757.75,122393.53125
-320615.65625,199581.0,-296728.375,12755.5078125,-345772.90625,122372.828125
-320627.09375,199558.90625,-296722.125,12750.7109375,-345779.6875,122360.671875
-320634.03125,199543.28125,-296702.28125,12762.697265625,-345789.0625,122358.3125
-320657.4375,199523.90625,-296698.5,12772.212890625,-345810.40625,122355.171875
-320709.875,199479.59375,-296706.40625,12749.2470703125,-345826.3125,122325.734375
-320724.40625,199466.46875,-296718.0625,12740.451171875,-345852.3125,122313.9453125
-320729.0,199469.96875,-296723.4375,12763.248046875,-345849.25,122353.8203125
-320737.5625,199468.46875,-296714.15625,12776.2529296875,-345804.4375,122345.0703125
-320739.4375,199477.875,-296732.8125,12756.185546875,-345811.625,122327.359375
-320741.28125,199477.25,-296747.625,12738.66796875,-345829.0625,122327.375
