FC6,C4,CP6,CP5,FC5,C3
-318528.875,204898.1875,-289246.125,15954.21875,-345584.0625,133422.3125
-318509.875,204871.09375,-289240.6875,15955.0546875,-345572.75,133450.25
-318514.53125,204859.765625,-289257.875,15996.2578125,-345582.0625,133469.6875
-318526.6875,204847.25,-289237.15625,16020.296875,-345560.40625,133504.0625
-318502.375,204852.3125,-289228.9375,16052.83984375,-345555.3125,133556.0
-318511.9375,204857.34375,-289268.34375,16091.6611328125,-345531.53125,133585.078125
-318550.75,204845.15625,-289275.46875,16106.2109375,-345482.3125,133598.453125
-318585.375,204825.0625,-289296.03125,16105.59765625,-345476.21875,133618.984375
-318593.25,204821.78125,-289322.03125,16095.7958984375,-345486.1875,133612.296875
-318586.0625,204815.734375,-289332.5625,16095.9951171875,-345516.03125,133607.21875
-318554.0,204786.59375,-289342.9375,16086.6748046875,-345553.5625,133606.3125
-318493.3125,204749.84375,-289356.5,16058.1640625,-345554.9375,133586.015625
-318479.03125,204724.109375,-289358.40625,16038.19140625,-345537.09375,133584.65625
-318489.15625,204723.109375,-289343.40625,16057.728515625,-345509.28125,133594.609375
-318475.0625,204746.265625,-289329.0625,16055.640625,-345478.0625,133598.09375
-318493.3125,204749.3125,-289314.71875,16062.48828125,-345463.9375,133633.125
-318531.5,204737.140625,-289290.71875,16084.27734375,-345456.96875,133659.875
-318512.59375,204748.90625,-289250.46875,16078.16796875,-345451.53125,133661.359375
-318473.21875,204776.28125,-289237.5625,16101.7861328125,-345438.40625,133665.140625
-318445.09375,204827.46875,-289223.75,16099.05859375,-345453.03125,133634.28125
-318426.75,204859.6875,-289203.5625,16075.845703125,-345482.9375,133595.125
-318359.75,204907.28125,-289187.25,16070.8828125,-345487.46875,133584.234375
-318315.8125,204948.90625,-289162.5625,16058.6142578125,-345490.3125,133603.9375
-318298.8125,204964.125,-289137.4375,16079.19921875,-345472.84375,133616.1875
-318280.875,204992.90625,-289100.5,16104.720703125,-345452.21875,133637.6875
-318316.53125,204991.015625,-289090.8125,16085.58984375,-345448.4375,133651.46875
-318363.8125,205003.6875,-289067.75,16054.23828125,-345439.875,133622.984375
-318388.75,205012.53125,-289071.25,16010.44140625,-345478.09375,133567.0
-318385.5625,205015.46875,-289089.3125,15990.5400390625,-345522.59375,133522.28125
-318382.8125,205018.5,-289107.4375,15986.4677734375,-345532.5625,133491.4375
-318376.1875,205010.90625,-289125.96875,15977.7177734375,-345571.8125,133466.84375
-318345.34375,205022.96875,-289110.90625,15972.41796875,-345609.625,133473.015625
-318331.5625,205019.765625,-289115.6875,15956.234375,-345620.5625,133455.96875
-318380.5,205005.5625,-289104.75,15940.689453125,-345652.6875,133417.8125
-318400.9375,204984.0625,-289130.625,15909.1689453125,-345647.9375,133379.328125
-318409.1875,204959.3125,-289164.25,15891.359375,-345623.75,133376.4375
-318461.875,204935.34375,-289163.21875,15892.556640625,-345611.75,133372.15625
-318497.5,204921.65625,-289183.8125,15884.90234375,-345610.65625,133354.84375
-318501.0625,204913.515625,-289196.125,15863.498046875,-345640.78125,133353.140625
-318517.125,204905.40625,-289201.9375,15853.99609375,-345644.8125,133351.78125
-318506.375,204905.40625,-289230.125,15839.81640625,-345654.375,133322.96875
-318440.25,204914.515625,-289220.28125,15836.765625,-345654.9375,133303.84375
-318437.1875,204896.15625,-289198.59375,15857.951171875,-345646.1875,133308.84375
-318478.9375,204884.46875,-289201.25,15864.2109375,-345647.03125,133282.375
-318483.8125,204911.375,-289180.90625,15868.66796875,-345630.65625,133297.34375
-318491.0625,204916.5625,-289173.15625,15885.35546875,-345610.9375,133326.546875
-318520.1875,204937.59375,-289180.0625,15913.1142578125,-345590.34375,133353.1875
-318528.25,204931.8125,-289189.875,15904.666015625,-345596.1875,133364.875
-318500.0,204929.265625,-289182.375,15921.375,-345620.8125,133386.8125
-318482.71875,204942.3125,-289187.96875,15932.8046875,-345637.8125,133397.796875
-318455.0625,204927.828125,-289212.9375,15934.119140625,-345640.5625,133381.828125
-318419.4375,204928.453125,-289218.9375,15956.3916015625,-345643.875,133401.6875
-318413.0,204916.421875,-289222.75,15969.9462890625,-345649.125,133418.09375
-318415.3125,204902.078125,-289227.53125,15978.3095703125,-345647.9375,133417.375
