FC6,C4,CP6,CP5,FC5,C3
-318405.0,203057.1875,-291258.625,15248.08203125,-345119.0,129439.984375
-318392.09375,203047.875,-291261.65625,15253.5205078125,-345124.25,129444.296875
-318397.875,203040.28125,-291268.8125,15260.5634765625,-345111.4375,129446.234375
-318383.0,203054.3125,-291254.1875,15274.64453125,-345073.6875,129460.4765625
-318398.6875,203060.578125,-291245.8125,15264.4208984375,-345048.6875,129448.765625
-318429.9375,203077.390625,-291225.4375,15263.181640625,-345057.4375,129466.765625
-318417.3125,203089.671875,-291206.15625,15308.6875,-345020.25,129507.140625
-318407.3125,203095.09375,-291208.25,15330.06640625,-345003.40625,129524.1953125
-318409.0625,203087.0625,-291239.9375,15340.3056640625,-345003.1875,129532.5390625
-318371.3125,203093.8125,-291265.625,15327.283203125,-344998.0625,129531.2734375
-318331.65625,203120.3125,-291248.9375,15318.9501953125,-345008.375,129546.2265625
-318332.15625,203124.8125,-291238.5625,15328.763671875,-345022.1875,129561.84375
-318353.6875,203111.59375,-291245.6875,15312.41796875,-345052.375,129547.9765625
-318362.53125,203088.90625,-291228.5,15324.296875,-345042.03125,129560.84375
-318390.90625,203060.921875,-291243.59375,15324.4892578125,-345021.3125,129534.5078125
-318440.28125,203012.109375,-291292.53125,15306.60546875,-345022.84375,129481.8359375
-318463.25,202988.921875,-291314.1875,15312.2119140625,-344991.8125,129493.828125
-318462.8125,202988.921875,-291325.875,15315.845703125,-345007.15625,129485.6015625
-318464.375,202998.4375,-291348.4375,15290.052734375,-345040.8125,129466.1875
-318443.1875,203013.34375,-291317.625,15284.3095703125,-345033.8125,129456.8046875
-318400.625,203024.9375,-291293.6875,15287.962890625,-345051.53125,129435.96875
-318369.59375,203025.3125,-291298.375,15278.8642578125,-345058.875,129414.234375
-318377.90625,203010.71875,-291292.625,15289.6171875,-345066.75,129396.84375
-318347.25,203046.96875,-291264.78125,15309.7607421875,-345044.03125,129436.6875
-318356.53125,203073.375,-291240.0,15321.1689453125,-345016.4375,129461.28125
-318412.5,203065.484375,-291244.125,15333.787109375,-345012.9375,129469.453125
-318428.8125,203063.703125,-291243.46875,15347.849609375,-345011.25,129474.125
-318424.90625,203042.890625,-291278.5625,15314.90625,-345031.75,129449.8203125
-318430.40625,203038.1875,-291288.875,15276.009765625,-345043.84375,129452.265625
-318417.5,203045.4375,-291258.375,15272.982421875,-345044.6875,129449.53125
-318368.65625,203064.015625,-291260.1875,15256.0234375,-345048.875,129437.90625
-318328.53125,203093.28125,-291254.375,15257.455078125,-345057.03125,129434.890625
-318321.5,203092.3125,-291236.78125,15275.1796875,-345043.4375,129451.4140625
-318319.9375,203102.6875,-291234.3125,15259.7861328125,-345011.46875,129464.8125
-318282.8125,203112.046875,-291212.4375,15245.1328125,-344976.90625,129484.546875
-318309.125,203126.78125,-291185.71875,15240.935546875,-344987.65625,129505.3359375
-318298.25,203128.78125,-291163.6875,15249.296875,-345002.5,129478.859375
-318263.84375,203145.96875,-291166.6875,15253.37109375,-345027.78125,129477.3515625
-318259.28125,203160.703125,-291175.21875,15241.396484375,-345063.0,129477.1875
-318230.8125,203133.5625,-291182.6875,15225.896484375,-345072.3125,129462.28125
-318211.125,203126.875,-291198.1875,15198.34765625,-345075.0,129433.90625
-318223.0625,203111.078125,-291169.21875,15214.4375,-345073.8125,129434.234375
-318252.5,203114.890625,-291145.4375,15241.4580078125,-345047.0,129465.59375
-318267.40625,203126.46875,-291151.75,15252.7548828125,-345035.5625,129474.78125
-318292.6875,203107.15625,-291155.0,15274.7041015625,-345078.0,129485.25
-318341.75,203098.140625,-291174.9375,15258.5986328125,-345099.0,129453.921875
-318391.6875,203046.90625,-291217.875,15237.2734375,-345115.90625,129418.015625
-318414.6875,202999.578125,-291242.0625,15224.923828125,-345116.78125,129408.125
-318416.0625,203013.21875,-291249.0,15215.9453125,-345117.375,129397.96875
-318383.625,202994.40625,-291264.25,15217.171875,-345114.75,129377.109375
-318310.875,202983.40625,-291261.875,15211.587890625,-345093.75,129373.6796875
-318257.0,202964.828125,-291266.0,15201.53125,-345102.46875,129372.8359375
-318261.375,202953.5,-291258.75,15205.51953125,-345107.5625,129384.484375
-318299.8125,202945.28125,-291261.21875,15228.83203125,-345112.65625,129384.96875
-318367.03125,202944.1875,-291241.28125,15254.3564453125,-345124.125,129387.765625
-318433.9375,202960.78125,-291232.8125,15248.2470703125,-345133.3125,129380.8671875
-318444.8125,202944.15625,-291256.25,15246.013671875,-345106.78125,129366.5390625
-318406.71875,202959.28125,-291240.1875,15251.7890625,-345078.8125,129384.2265625
-318361.21875,202987.515625,-291247.875,15241.572265625,-345110.3125,129370.2265625
-318350.78125,203005.0625,-291244.6875,15244.5986328125,-345122.125,129372.265625
-318312.4375,203011.9375,-291226.1875,15242.068359375,-345126.5,129389.7265625
-318253.09375,203054.390625,-291198.1875,15245.759765625,-345118.6875,129405.46875
-318227.4375,203076.5625,-291158.5625,15227.724609375,-345088.15625,129415.5703125
-318202.5625,203112.25,-291133.53125,15237.0234375,-345072.03125,129423.796875
-318178.75,203160.84375,-291106.5,15302.359375,-345057.40625,129448.703125
-318188.5625,203173.5625,-291097.03125,15329.50390625,-345063.125,129472.703125
-318226.125,203176.78125,-291104.9375,15334.296875,-345065.8125,129491.828125
-318255.6875,203129.21875,-291139.9375,15301.298828125,-345071.8125,129469.40625
-318272.8125,203106.640625,-291160.875,15268.2626953125,-345069.375,129448.5078125
-318258.75,203092.28125,-291164.03125,15249.330078125,-345070.9375,129425.1953125
-318231.875,203087.71875,-291149.125,15248.7138671875,-345123.59375,129419.703125
-318250.65625,203066.46875,-291141.625,15249.0107421875,-345168.09375,129393.703125
-318291.3125,203023.15625,-291144.375,15224.5732421875,-345185.4375,129352.21875
-318324.875,203016.984375,-291148.78125,15217.5263671875,-345181.625,129332.34375
-318360.875,203010.96875,-291196.3125,15216.9765625,-345180.25,129313.5
-318374.875,203004.453125,-291201.65625,15237.9453125,-345171.03125,129339.828125
-318370.6875,203009.75,-291201.375,15228.708984375,-345190.03125,129334.6875
-318386.375,202964.703125,-291221.375,15181.724609375,-345229.1875,129316.375
-318406.6875,202920.046875,-291239.9375,15169.494140625,-345223.46875,129292.7109375
-318368.9375,202927.1875,-291252.96875,15164.640625,-345213.25,129283.8046875
-318316.375,202945.875,-291261.84375,15174.087890625,-345217.8125,129297.078125
-318316.84375,202948.4375,-291283.125,15193.2734375,-345219.1875,129305.28125
-318325.6875,202936.25,-291269.5625,15171.7470703125,-345181.40625,129311.1171875
-318342.125,202939.375,-291253.65625,15172.705078125,-345163.125,129290.8515625
-318369.40625,202939.5,-291247.4375,15190.0205078125,-345161.875,129279.1640625
-318392.1875,202931.46875,-291257.125,15193.4423828125,-345180.40625,129270.7109375
-318417.8125,202929.4375,-291278.6875,15167.986328125,-345210.4375,129227.203125
-318396.8125,202941.65625,-291294.1875,15140.951171875,-345212.59375,129209.734375
-318398.21875,202939.125,-291325.5625,15119.154296875,-345204.25,129210.703125
-318406.75,202943.8125,-291314.03125,15134.6484375,-345167.9375,129213.4140625
-318338.75,202937.640625,-291276.15625,15168.28515625,-345167.5,129240.203125
-318329.4375,202917.359375,-291250.28125,15184.4921875,-345185.8125,129243.59375
-318362.6875,202910.125,-291253.65625,15171.9140625,-345190.40625,129227.1171875
-318361.53125,202920.375,-291242.125,15164.869140625,-345213.125,129234.265625
-318375.5,202960.453125,-291246.6875,15187.4140625,-345210.3125,129240.09375
-318408.375,202986.671875,-291250.59375,15194.98046875,-345183.3125,129238.5
-318401.125,202987.546875,-291239.0,15204.8193359375,-345142.9375,129248.703125
-318376.5625,202984.46875,-291257.625,15195.0302734375,-345083.875,129246.6875
-318355.375,202996.4375,-291269.25,15196.2783203125,-345044.65625,129274.0625
-318306.75,203018.25,-291259.53125,15214.568359375,-345023.125,129309.171875
-318252.28125,203052.46875,-291227.65625,15223.1533203125,-345033.9375,129318.75
-318235.40625,203076.921875,-291221.5,15204.673828125,-345080.75,129309.5625
-318244.25,203067.21875,-291208.03125,15191.19140625,-345092.1875,129304.5078125
-318235.5625,203085.0625,-291206.625,15197.7314453125,-345102.4375,129304.5
-318252.5,203098.09375,-291219.5,15194.6865234375,-345101.25,129306.4609375
-318271.9375,203092.75,-291202.0625,15197.5986328125,-345079.125,129329.1796875
-318279.25,203117.4375,-291176.9375,15216.9951171875,-345083.5,129357.6875
-318275.90625,203122.65625,-291166.1875,15215.4765625,-345075.125,129372.8125
-318275.5625,203115.375,-291170.3125,15196.1455078125,-345091.8125,129377.765625
-318253.28125,203116.59375,-291196.8125,15184.33984375,-345118.4375,129368.5625
-318219.34375,203118.75,-291204.28125,15183.83203125,-345121.5,129358.828125
-318239.09375,203081.578125,-291212.15625,15195.080078125,-345121.1875,129336.40625
-318265.78125,203058.328125,-291234.625,15193.646484375,-345129.8125,129311.578125
-318282.8125,203043.0,-291234.25,15208.6064453125,-345107.25,129313.609375
-318305.4375,203029.6875,-291231.75,15223.111328125,-345087.6875,129317.4375
-318350.375,203025.53125,-291251.28125,15220.859375,-345106.1875,129302.375
-318365.6875,203000.25,-291279.53125,15227.533203125,-345107.40625,129297.0
-318359.0625,203002.15625,-291282.59375,15229.892578125,-345134.5625,129309.1640625
-318366.09375,202998.6875,-291290.875,15213.8701171875,-345131.40625,129295.625
-318354.625,203004.625,-291277.3125,15235.3486328125,-345092.0,129319.25
-318337.625,203024.46875,-291245.75,15270.767578125,-345068.375,129363.84375
-318363.8125,203020.75,-291248.90625,15268.412109375,-345067.9375,129364.3125
-318402.875,203012.03125,-291253.0625,15246.8916015625,-345095.84375,129355.53125
-318417.1875,202995.203125,-291245.3125,15241.1357421875,-345111.0625,129363.5
-318435.5625,202985.75,-291223.9375,15249.7626953125,-345126.0625,129370.1015625
-318447.03125,202990.53125,-291202.375,15246.7734375,-345121.90625,129375.125
-318453.9375,202990.46875,-291217.1875,15266.705078125,-345129.25,129380.46875
-318417.75,203007.453125,-291205.15625,15296.736328125,-345126.90625,129392.7265625
-318408.03125,203006.1875,-291200.1875,15293.220703125,-345108.625,129401.2890625
-318409.125,202989.65625,-291232.5625,15276.81640625,-345118.125,129385.328125
-318386.9375,202971.578125,-291238.0,15260.1875,-345126.21875,129367.4375
-318392.6875,202951.015625,-291252.25,15234.1640625,-345133.28125,129364.0
-318420.65625,202950.296875,-291253.5,15241.109375,-345135.6875,129379.84375
-318414.59375,202972.703125,-291218.75,15262.14453125,-345098.75,129423.78125
-318418.0,202968.390625,-291205.53125,15271.9111328125,-345083.625,129431.296875
-318446.53125,202977.34375,-291204.625,15270.1689453125,-345084.875,129438.3359375
-318413.25,202992.78125,-291174.625,15288.181640625,-345044.96875,129453.9296875
-318357.40625,203033.46875,-291133.53125,15328.890625,-345003.65625,129463.6875
-318304.3125,203065.21875,-291130.625,15314.3466796875,-344985.15625,129471.15625
-318253.21875,203087.375,-291141.09375,15297.892578125,-344992.96875,129485.921875
