FC6,C4,CP6,CP5,FC5,C3
-319093.25,201571.375,-294335.875,14318.5361328125,-344956.75,125488.953125
-319125.40625,201546.375,-294362.625,14317.5654296875,-344981.5,125465.8984375
-319164.125,201525.546875,-294374.125,14317.998046875,-344992.0625,125485.125
-319198.9375,201503.84375,-294387.0625,14328.958984375,-345025.0,125504.8125
-319240.8125,201482.125,-294376.375,14355.126953125,-345014.65625,125527.296875
-319256.625,201453.8125,-294396.09375,14342.453125,-344998.8125,125540.90625
-319246.71875,201440.71875,-294435.25,14338.0166015625,-345012.625,125557.6953125
-319240.34375,201428.5625,-294435.0625,14371.2001953125,-344981.6875,125583.046875
-319217.25,201413.375,-294415.75,14408.6796875,-344964.625,125593.90625
-319174.5,201382.09375,-294394.6875,14435.544921875,-344963.53125,125606.109375
-319148.25,201378.515625,-294350.25,14444.533203125,-344972.78125,125602.296875
-319165.5625,201359.96875,-294345.375,14431.7939453125,-345013.25,125596.921875
-319180.59375,201326.90625,-294350.1875,14416.421875,-345010.125,125608.5625
-319197.65625,201334.03125,-294358.5625,14419.908203125,-344990.65625,125606.9375
-319207.6875,201355.25,-294352.1875,14455.6875,-344971.21875,125612.90625
-319167.0625,201400.375,-294331.8125,14481.7548828125,-344948.875,125632.765625
-319139.1875,201442.5,-294328.625,14461.365234375,-344967.75,125628.234375
-319125.78125,201474.65625,-294309.375,14451.205078125,-344985.65625,125630.875
-319083.375,201488.5,-294282.78125,14449.74609375,-344976.53125,125618.671875
-319059.1875,201499.84375,-294280.9375,14417.337890625,-344972.40625,125598.859375
-319049.1875,201518.78125,-294286.96875,14403.9921875,-344973.75,125607.296875
-319030.0625,201569.8125,-294252.28125,14418.9765625,-344930.75,125615.7890625
-319031.5,201619.09375,-294231.5625,14432.9404296875,-344881.1875,125645.75
-319042.78125,201660.078125,-294184.125,14452.3173828125,-344864.3125,125667.2421875
-319064.78125,201688.375,-294149.1875,14440.9423828125,-344867.34375,125657.015625
-319054.0,201714.5,-294168.5625,14422.8984375,-344903.5625,125646.40625
-319034.875,201699.90625,-294184.96875,14400.908203125,-344946.625,125623.703125
-319033.78125,201673.0625,-294219.75,14344.470703125,-344954.0,125583.765625
-319036.03125,201677.53125,-294233.6875,14314.265625,-344974.9375,125546.4765625
-319054.3125,201661.703125,-294237.5625,14299.53125,-345020.75,125519.296875
-319058.5625,201673.90625,-294238.125,14282.498046875,-345046.1875,125486.0
-319036.8125,201708.4375,-294207.4375,14299.3984375,-345049.875,125486.265625
-319039.25,201713.015625,-294196.625,14301.9296875,-345054.125,125493.625
-319040.375,201713.59375,-294180.875,14295.734375,-345043.75,125475.8125
-319058.0,201739.046875,-294178.125,14301.4619140625,-345045.5,125470.3515625
-319067.375,201732.3125,-294206.21875,14306.7392578125,-345044.5,125450.359375
-319038.0625,201740.0625,-294214.21875,14307.6064453125,-345010.1875,125419.265625
-319036.1875,201729.4375,-294245.3125,14295.546875,-345030.71875,125410.6875
-319021.28125,201695.140625,-294252.75,14289.0791015625,-345048.25,125418.796875
-319011.1875,201698.140625,-294244.9375,14273.8369140625,-345086.75,125400.359375
-319006.6875,201703.0625,-294274.875,14259.93359375,-345113.4375,125382.1484375
-319001.0,201706.96875,-294259.25,14265.341796875,-345101.1875,125380.8125
-318979.15625,201727.125,-294229.1875,14278.2314453125,-345095.4375,125396.6640625
-318992.6875,201726.5625,-294223.8125,14277.990234375,-345101.6875,125417.5
-319029.46875,201727.46875,-294216.5625,14304.921875,-345101.6875,125432.5390625
-319039.6875,201729.75,-294215.5625,14343.357421875,-345072.5625,125456.671875
-319034.78125,201706.21875,-294239.8125,14334.185546875,-345054.78125,125439.234375
-319015.15625,201696.59375,-294272.5625,14334.11328125,-345047.75,125421.0390625
-319031.53125,201674.359375,-294285.3125,14346.193359375,-345060.3125,125434.03125
-319015.78125,201655.34375,-294293.5,14364.609375,-345048.875,125457.1796875
-319027.4375,201621.078125,-294320.3125,14356.013671875,-345033.5625,125452.7265625
-319078.9375,201550.03125,-294325.75,14326.88671875,-345029.1875,125428.296875
-319106.3125,201504.953125,-294338.375,14315.4453125,-345020.125,125420.03125
-319135.9375,201492.765625,-294348.375,14313.66796875,-345007.8125,125422.2109375
-319202.5,201447.25,-294363.875,14296.896484375,-345039.6875,125415.1875
-319233.75,201404.09375,-294402.125,14313.0078125,-345060.1875,125443.109375
-319215.8125,201379.9375,-294413.0625,14332.1484375,-345057.9375,125473.875
-319220.28125,201345.828125,-294433.0625,14321.87109375,-345042.4375,125476.890625
-319206.15625,201319.71875,-294446.3125,14335.0712890625,-344995.75,125496.21875
-319159.1875,201336.765625,-294425.1875,14358.947265625,-344954.0,125518.546875
-319135.5,201364.59375,-294403.875,14361.45703125,-344952.96875,125533.875
-319155.90625,201363.25,-294376.9375,14343.1328125,-344997.0,125522.6875
-319141.875,201429.90625,-294318.96875,14347.783203125,-345005.15625,125514.734375
-319135.0625,201504.28125,-294272.75,14367.6455078125,-345007.9375,125526.34375
-319162.1875,201516.90625,-294259.90625,14365.609375,-345014.6875,125513.328125
-319145.6875,201559.84375,-294248.15625,14372.734375,-345016.15625,125516.34375
-319134.03125,201575.59375,-294245.53125,14377.86328125,-345025.6875,125529.6484375
-319130.3125,201585.1875,-294260.75,14359.7734375,-345032.4375,125519.578125
-319120.4375,201610.203125,-294274.6875,14353.1640625,-345032.0,125509.6015625
-319090.3125,201652.5625,-294245.90625,14378.51953125,-345028.9375,125527.9375
-319078.78125,201681.78125,-294230.6875,14391.849609375,-345060.875,125555.34375
-319100.03125,201689.375,-294248.65625,14374.318359375,-345060.375,125590.09375
-319086.25,201690.09375,-294238.875,14348.537109375,-345039.625,125602.203125
-319073.625,201682.96875,-294233.09375,14338.0390625,-345028.15625,125586.296875
-319081.9375,201683.53125,-294230.4375,14353.427734375,-345011.6875,125578.21875
-319097.03125,201671.5625,-294234.75,14351.4921875,-345000.21875,125545.59375
-319082.03125,201681.34375,-294236.4375,14362.609375,-345007.09375,125550.3125
-319066.09375,201683.625,-294222.65625,14345.3916015625,-345028.8125,125568.265625
-319063.5,201685.890625,-294227.90625,14332.4326171875,-345042.96875,125573.328125
-319028.125,201700.59375,-294211.9375,14353.03125,-345059.90625,125593.8125
-319014.34375,201711.0,-294185.5625,14373.294921875,-345052.5,125592.1953125
-319043.0,201698.9375,-294204.90625,14384.80078125,-345050.0,125576.703125
-319055.75,201698.140625,-294207.625,14365.9423828125,-345060.4375,125562.21875
-319071.90625,201702.6875,-294181.8125,14377.0126953125,-345053.5625,125566.109375
-319101.0625,201705.578125,-294181.8125,14362.4189453125,-345062.3125,125553.21875
-319088.65625,201717.3125,-294182.4375,14349.5859375,-345041.1875,125531.671875
-319063.4375,201733.546875,-294187.4375,14368.291015625,-345028.875,125524.78125
-319058.6875,201714.375,-294205.75,14350.421875,-345031.0625,125500.4453125
-319073.5625,201682.390625,-294223.65625,14326.2392578125,-345025.5,125501.7265625
-319078.5625,201653.78125,-294241.5,14307.3212890625,-345037.90625,125493.671875
-319056.28125,201625.21875,-294243.25,14283.265625,-345011.6875,125491.515625
-319059.90625,201605.09375,-294249.375,14277.578125,-345004.75,125487.03125
-319103.875,201573.03125,-294269.625,14289.455078125,-345022.03125,125456.53125
-319122.40625,201547.640625,-294274.1875,14301.853515625,-345022.09375,125478.8828125
-319187.8125,201544.828125,-294271.0,14304.80859375,-345034.625,125488.71875
-319215.0625,201545.109375,-294272.0625,14305.6875,-345036.125,125474.546875
-319177.78125,201552.125,-294277.1875,14303.32421875,-345042.75,125493.96875
-319186.25,201554.34375,-294269.28125,14324.64453125,-345048.78125,125515.3046875
-319157.6875,201531.65625,-294297.1875,14340.337890625,-345045.3125,125516.609375
-319119.25,201529.890625,-294305.59375,14338.75,-345034.9375,125536.25
-319098.90625,201518.703125,-294284.375,14357.84375,-345024.75,125558.125
-319106.5,201503.53125,-294295.8125,14351.7890625,-345028.6875,125557.90625
-319132.3125,201461.375,-294289.375,14353.6025390625,-345054.125,125539.921875
-319169.03125,201420.390625,-294299.59375,14354.173828125,-345067.625,125536.25
-319212.8125,201388.375,-294320.3125,14338.78515625,-345089.03125,125518.4765625
-319253.3125,201372.390625,-294330.625,14346.85546875,-345115.90625,125501.171875
-319259.125,201350.890625,-294332.84375,14352.544921875,-345095.5,125509.21875
-319263.3125,201312.265625,-294337.34375,14344.5048828125,-345107.125,125502.203125
-319266.875,201291.921875,-294334.21875,14341.95703125,-345103.125,125480.859375
-319221.3125,201274.90625,-294326.59375,14330.404296875,-345078.78125,125468.0078125
-319206.3125,201282.9375,-294331.46875,14320.736328125,-345091.3125,125477.2890625
-319218.5,201293.140625,-294329.75,14335.693359375,-345118.8125,125473.3515625
-319219.0625,201294.0,-294330.5625,14327.458984375,-345109.1875,125463.7421875
-319243.6875,201299.28125,-294329.21875,14336.87109375,-345079.5625,125468.3671875
-319277.8125,201318.4375,-294335.625,14347.02734375,-345092.5,125473.96875
-319277.9375,201324.640625,-294348.6875,14310.603515625,-345087.75,125471.4140625
-319265.40625,201332.5,-294380.4375,14294.1953125,-345094.0,125461.6328125
-319280.28125,201358.90625,-294420.28125,14270.87109375,-345126.1875,125439.734375
-319236.5625,201378.46875,-294412.1875,14251.80859375,-345115.375,125449.9140625
-319159.75,201421.09375,-294375.84375,14275.583984375,-345118.46875,125468.6875
-319088.75,201479.53125,-294332.1875,14289.8984375,-345154.1875,125497.578125
-319029.40625,201509.78125,-294289.28125,14283.5537109375,-345173.25,125495.46875
-319027.28125,201541.625,-294252.0625,14272.7939453125,-345195.375,125501.2578125
-319072.6875,201574.71875,-294235.71875,14266.798828125,-345191.8125,125530.6328125
-319126.25,201579.703125,-294224.34375,14286.033203125,-345154.15625,125537.0390625
-319123.0625,201583.6875,-294220.1875,14310.408203125,-345137.3125,125559.15625
-319079.3125,201602.0,-294221.1875,14312.037109375,-345104.5,125567.140625
-319041.75,201613.34375,-294233.71875,14291.3603515625,-345075.625,125533.3125
-319014.6875,201597.5,-294232.6875,14276.068359375,-345074.03125,125527.859375
-319015.75,201591.375,-294229.53125,14250.07421875,-345070.90625,125524.265625
-319038.9375,201579.59375,-294226.875,14252.4189453125,-345064.28125,125495.484375
-319035.6875,201564.96875,-294220.21875,14281.068359375,-345060.25,125501.234375
-319031.8125,201568.21875,-294227.375,14294.9140625,-345074.0625,125497.671875
-319042.96875,201576.015625,-294234.3125,14303.646484375,-345060.53125,125480.671875
-319083.875,201569.765625,-294255.15625,14282.1220703125,-345066.09375,125458.3125
-319113.0,201566.6875,-294262.0,14261.349609375,-345099.09375,125430.7265625
-319089.40625,201580.515625,-294245.8125,14279.7734375,-345070.1875,125437.4375
-319104.125,201555.25,-294263.75,14270.5400390625,-345078.375,125445.7890625
-319121.3125,201534.828125,-294283.1875,14271.908203125,-345101.625,125436.7890625
-319067.0625,201558.953125,-294260.3125,14324.212890625,-345077.75,125466.1640625
-319032.4375,201585.703125,-294220.28125,14344.708984375,-345045.15625,125511.1640625
-319035.0,201593.96875,-294219.5,14338.744140625,-345006.40625,125532.65625
-319042.40625,201576.484375,-294268.5,14311.447265625,-344991.75,125519.4453125
-319083.375,201542.765625,-294278.1875,14274.431640625,-344992.40625,125526.0625
-319139.5625,201528.25,-294287.375,14285.615234375,-344996.8125,125538.6328125
-319155.6875,201535.265625,-294259.9375,14332.599609375,-345016.1875,125548.328125
-319160.1875,201517.28125,-294249.5625,14323.0087890625,-345017.53125,125541.8125
-319193.3125,201469.40625,-294292.9375,14291.177734375,-345033.9375,125479.265625
-319212.5,201431.59375,-294312.90625,14286.376953125,-345080.3125,125435.6875
-319203.0625,201381.125,-294340.1875,14288.3681640625,-345132.9375,125432.1953125
-319241.21875,201349.1875,-294346.0625,14309.341796875,-345170.8125,125442.109375
-319282.1875,201327.09375,-294353.125,14340.900390625,-345167.9375,125440.59375
-319311.0,201269.671875,-294387.6875,14339.0869140625,-345175.4375,125425.15625
-319357.8125,201213.3125,-294408.5,14325.595703125,-345173.34375,125404.1171875
-319395.6875,201176.9375,-294417.75,14332.5859375,-345176.0,125400.9765625
-319442.3125,201142.640625,-294448.40625,14344.0361328125,-345183.625,125402.296875
-319455.1875,201147.078125,-294463.78125,14343.3798828125,-345183.5,125407.09375
-319453.3125,201140.15625,-294461.875,14321.9423828125,-345209.75,125410.046875
-319436.71875,201128.40625,-294433.9375,14330.455078125,-345185.4375,125415.25
-319404.53125,201149.3125,-294402.0625,14324.30859375,-345198.03125,125418.921875
-319403.625,201169.65625,-294376.25,14298.400390625,-345218.25,125400.953125
-319384.6875,201240.25,-294333.3125,14309.232421875,-345191.1875,125406.9765625
-319350.375,201305.4375,-294303.53125,14307.130859375,-345198.875,125430.71875
-319330.1875,201349.8125,-294275.25,14311.6923828125,-345199.25,125436.140625
-319330.75,201378.46875,-294276.6875,14316.755859375,-345199.5625,125435.5
-319348.125,201384.4375,-294286.375,14284.20703125,-345217.625,125433.0
-319345.8125,201396.5625,-294302.28125,14292.8359375,-345233.59375,125427.234375
-319329.34375,201411.15625,-294307.125,14297.435546875,-345211.25,125459.90625
-319300.90625,201440.375,-294299.875,14291.4267578125,-345200.4375,125488.90625
-319243.40625,201505.453125,-294266.9375,14331.7080078125,-345172.375,125510.8984375
-319201.375,201554.0625,-294246.25,14342.4541015625,-345130.0,125512.640625
-319208.0625,201554.09375,-294263.0,14332.09375,-345119.78125,125505.78125
-319219.5625,201558.0,-294243.1875,14351.9501953125,-345102.0625,125521.203125
-319203.875,201573.28125,-294219.375,14386.294921875,-345088.6875,125548.6640625
-319197.0,201594.015625,-294207.8125,14410.5400390625,-345069.875,125562.3515625
-319196.375,201612.75,-294201.65625,14418.01171875,-345076.1875,125555.640625
-319180.9375,201629.53125,-294196.25,14414.771484375,-345058.5625,125560.3125
