FC6,C4,CP6,CP5,FC5,C3
-319881.625,199024.28125,-297396.3125,12091.373046875,-344745.1875,119059.90625
-319903.46875,199044.3125,-297362.75,12100.599609375,-344749.46875,119060.046875
-319928.875,199058.1875,-297361.21875,12110.546875,-344717.5,119082.390625
-319942.375,199043.59375,-297353.0,12107.755859375,-344712.125,119079.2109375
-319961.6875,199012.4375,-297384.0,12098.5927734375,-344719.59375,119054.5390625
-319962.625,198981.125,-297431.65625,12080.1064453125,-344716.0,119051.3125
-319942.875,198929.921875,-297466.40625,12071.5849609375,-344726.0625,119044.65625
-319913.3125,198930.375,-297464.4375,12098.92578125,-344730.28125,119061.28125
-319911.875,198924.703125,-297448.5,12118.01171875,-344733.09375,119100.84375
-319909.0625,198932.953125,-297439.375,12134.51953125,-344735.09375,119138.984375
-319891.5625,198959.0,-297413.3125,12170.4912109375,-344735.59375,119168.4609375
-319904.625,198950.84375,-297398.5,12189.177734375,-344710.90625,119199.9375
-319932.0,198950.375,-297396.8125,12211.1328125,-344702.78125,119209.671875
-319946.40625,198961.75,-297391.9375,12224.171875,-344697.53125,119185.7265625
-319896.8125,198996.75,-297375.0625,12220.33203125,-344700.4375,119196.375
-319861.46875,199055.03125,-297340.375,12247.806640625,-344716.65625,119235.296875
-319835.1875,199083.265625,-297309.78125,12261.1728515625,-344718.0,119263.5078125
-319804.0625,199097.875,-297288.8125,12257.29296875,-344710.03125,119291.03125
-319850.53125,199093.828125,-297299.3125,12255.044921875,-344690.75,119303.703125
-319909.90625,199041.53125,-297358.625,12209.9765625,-344691.0,119237.7890625
-319930.96875,198998.890625,-297400.65625,12185.8203125,-344702.25,119186.1875
-319960.625,198981.171875,-297411.09375,12205.6064453125,-344698.0,119176.359375
-320001.0625,198967.4375,-297426.625,12207.8125,-344692.5625,119186.2265625
-320023.3125,198973.34375,-297414.0625,12191.904296875,-344715.84375,119187.1015625
-320023.59375,199008.609375,-297384.5625,12207.9150390625,-344729.21875,119194.6875
-319985.40625,199027.15625,-297377.3125,12208.517578125,-344750.6875,119207.140625
-319955.25,199032.390625,-297374.96875,12181.87109375,-344778.5,119188.546875
-319923.8125,199044.96875,-297377.5625,12179.83203125,-344752.0625,119193.234375
-319903.6875,199047.75,-297369.8125,12194.015625,-344695.90625,119209.09375
-319917.8125,199056.84375,-297362.78125,12214.443359375,-344654.8125,119220.4296875
-319925.75,199071.34375,-297360.4375,12231.1953125,-344664.625,119195.125
-319924.96875,199076.875,-297342.8125,12244.408203125,-344700.1875,119168.515625
-319946.59375,199092.21875,-297341.6875,12243.375,-344732.78125,119148.46875
-319963.46875,199078.484375,-297366.5625,12227.7099609375,-344754.9375,119129.90625
-319976.625,199046.46875,-297408.8125,12199.642578125,-344774.625,119100.96875
-319975.03125,199025.328125,-297426.34375,12178.921875,-344766.28125,119096.21875
-319948.78125,199006.375,-297446.5,12174.060546875,-344748.1875,119110.796875
-319932.9375,198980.71875,-297464.21875,12154.310546875,-344762.0625,119117.53125
-319939.71875,198974.75,-297437.53125,12156.505859375,-344742.6875,119137.9296875
-319946.875,198982.5,-297410.9375,12181.935546875,-344730.4375,119142.0546875
-319933.625,198971.03125,-297405.5,12178.8759765625,-344740.0625,119138.7890625
-319939.125,199002.1875,-297400.5,12183.748046875,-344740.125,119140.1640625
-319952.96875,199037.21875,-297402.15625,12194.046875,-344727.59375,119156.203125
-319940.9375,199031.84375,-297412.375,12185.7421875,-344703.8125,119163.3125
-319925.28125,199040.96875,-297434.40625,12154.26953125,-344699.625,119152.6875
-319937.3125,198997.34375,-297451.4375,12114.80078125,-344718.59375,119120.15625
-319897.1875,198965.0,-297470.4375,12098.720703125,-344714.71875,119100.6015625
-319854.125,198973.03125,-297492.28125,12078.49609375,-344716.4375,119117.8125
-319881.25,198943.90625,-297502.25,12080.3837890625,-344748.25,119113.0703125
-319884.75,198909.5,-297511.0625,12089.2822265625,-344745.90625,119122.953125
-319892.625,198887.328125,-297522.25,12085.67578125,-344751.5,119118.5625
-319923.03125,198898.859375,-297543.28125,12097.1376953125,-344763.625,119132.59375
-319979.40625,198862.0625,-297578.96875,12078.1669921875,-344758.8125,119155.734375
-320046.125,198820.09375,-297614.3125,12072.1611328125,-344767.1875,119128.4375
