FC6,C4,CP6,CP5,FC5,C3
-319926.5625,199501.03125,-297053.4375,12542.1552734375,-344797.5625,119892.171875
-319918.875,199488.8125,-297058.875,12553.783203125,-344775.375,119891.421875
-319926.375,199483.4375,-297074.8125,12535.517578125,-344782.0625,119880.875
-319914.21875,199457.5,-297092.75,12499.49609375,-344823.625,119882.703125
-319897.71875,199422.125,-297112.0625,12469.171875,-344841.40625,119878.421875
-319874.9375,199420.21875,-297113.875,12460.412109375,-344831.46875,119873.265625
-319850.875,199418.953125,-297091.75,12463.9453125,-344829.28125,119878.59375
-319850.09375,199430.46875,-297079.3125,12475.25390625,-344813.78125,119837.28125
-319828.0,199447.0,-297030.8125,12507.7548828125,-344779.8125,119833.3046875
-319813.8125,199489.40625,-296990.8125,12522.375,-344779.3125,119835.1640625
-319832.65625,199518.265625,-297005.03125,12524.181640625,-344799.0,119810.65625
-319818.8125,199545.9375,-296995.90625,12515.533203125,-344801.8125,119798.53125
-319819.90625,199534.84375,-297030.0,12486.1171875,-344830.0625,119746.015625
-319826.5,199488.25,-297080.6875,12454.6611328125,-344862.75,119671.1875
-319794.9375,199468.828125,-297084.625,12416.158203125,-344882.03125,119616.5
-319770.71875,199447.03125,-297070.5625,12413.7939453125,-344884.65625,119587.75
-319777.375,199438.875,-297082.15625,12433.615234375,-344888.5,119571.3515625
-319819.875,199396.46875,-297132.375,12423.228515625,-344919.78125,119569.890625
-319854.3125,199382.375,-297154.4375,12432.8984375,-344918.9375,119616.078125
-319904.4375,199391.3125,-297177.34375,12469.5625,-344917.71875,119672.4375
-319935.78125,199397.28125,-297197.8125,12510.4375,-344900.46875,119721.15625
-319921.8125,199371.59375,-297192.84375,12516.02734375,-344873.9375,119747.3125
-319947.0625,199330.125,-297231.71875,12523.0625,-344875.25,119755.4375
-319988.375,199250.8125,-297290.3125,12486.880859375,-344889.40625,119744.4375
-319984.4375,199175.015625,-297333.375,12441.4775390625,-344896.5625,119739.796875
-319974.5,199168.3125,-297331.8125,12453.01171875,-344881.8125,119774.0625
-320014.8125,199133.578125,-297316.0625,12454.9892578125,-344857.9375,119788.578125
-320053.625,199114.765625,-297324.8125,12459.357421875,-344846.96875,119801.34375
-320082.4375,199093.359375,-297320.34375,12455.947265625,-344832.9375,119812.65625
-320118.96875,199095.890625,-297301.78125,12486.74609375,-344815.5625,119807.15625
-320158.5,199090.0625,-297312.375,12501.458984375,-344829.53125,119791.7265625
-320167.8125,199057.265625,-297337.1875,12483.3837890625,-344839.1875,119767.4375
-320168.1875,199079.953125,-297328.125,12492.755859375,-344825.5,119784.234375
-320161.15625,199075.4375,-297306.28125,12466.4052734375,-344842.8125,119765.0
-320117.71875,199092.34375,-297299.0,12450.607421875,-344854.28125,119726.0390625
-320072.375,199135.65625,-297268.0625,12480.0361328125,-344841.03125,119739.515625
-320089.4375,199165.015625,-297251.9375,12484.50390625,-344871.75,119717.8203125
-320107.4375,199169.8125,-297275.4375,12478.73828125,-344890.4375,119710.5625
-320081.9375,199193.46875,-297242.125,12483.029296875,-344885.0625,119740.7578125
-320088.375,199250.640625,-297192.59375,12482.61328125,-344884.03125,119764.03125
-320078.4375,199295.6875,-297159.625,12487.720703125,-344869.6875,119786.390625
-320063.375,199322.0625,-297151.90625,12494.025390625,-344864.9375,119798.3984375
-320049.46875,199354.0625,-297173.25,12503.162109375,-344851.0625,119814.7265625
-320039.875,199351.875,-297196.0,12496.5625,-344836.125,119781.703125
-320007.3125,199314.265625,-297225.0625,12464.279296875,-344818.6875,119730.6328125
-319979.59375,199303.15625,-297248.0,12462.671875,-344812.8125,119728.578125
-319990.375,199299.0,-297242.4375,12478.126953125,-344823.9375,119730.46875
-319978.90625,199314.1875,-297233.875,12494.41796875,-344834.125,119741.328125
-319995.3125,199334.40625,-297238.6875,12496.2587890625,-344849.90625,119756.1171875
-320010.75,199351.46875,-297227.84375,12493.5791015625,-344839.5,119766.0390625
-320043.8125,199353.3125,-297240.0,12492.49609375,-344852.1875,119777.8125
-320055.25,199342.65625,-297243.6875,12472.4892578125,-344877.875,119752.15625
-320024.1875,199351.46875,-297221.1875,12480.9375,-344868.875,119744.2578125
-320010.0625,199358.3125,-297216.09375,12474.0078125,-344856.40625,119740.25
-319986.5,199363.40625,-297206.125,12437.1337890625,-344843.0625,119726.3203125
-319963.6875,199368.1875,-297197.9375,12455.1201171875,-344836.375,119740.796875
-319972.625,199331.6875,-297211.9375,12473.05078125,-344865.8125,119732.6640625
-319971.375,199320.90625,-297208.03125,12470.62890625,-344891.0625,119695.1875
-319970.03125,199334.59375,-297176.8125,12490.056640625,-344874.4375,119668.328125
