FC6,C4,CP6,CP5,FC5,C3
-317481.34375,206646.96875,-287724.15625,16599.083984375,-346502.5625,137547.5
-317507.75,206631.765625,-287722.6875,16593.029296875,-346528.125,137538.96875
-317513.25,206634.390625,-287712.6875,16609.4921875,-346491.53125,137554.046875
-317548.90625,206640.78125,-287704.4375,16648.53125,-346446.28125,137572.6875
-317572.4375,206597.96875,-287722.4375,16637.88671875,-346423.03125,137570.84375
-317541.90625,206569.125,-287737.9375,16631.79296875,-346391.5625,137579.78125
-317507.0,206581.078125,-287735.8125,16637.3828125,-346369.5625,137600.5
-317474.15625,206590.3125,-287745.90625,16615.564453125,-346349.25,137598.90625
-317416.875,206610.28125,-287740.28125,16638.181640625,-346351.9375,137636.0
-317412.75,206619.46875,-287737.5,16653.85546875,-346357.46875,137660.5625
-317452.8125,206601.53125,-287755.1875,16648.6640625,-346355.375,137653.171875
-317477.4375,206575.71875,-287770.65625,16653.06640625,-346373.375,137646.59375
-317485.3125,206605.34375,-287722.9375,16690.99609375,-346356.3125,137650.84375
-317484.625,206651.25,-287684.375,16721.736328125,-346327.625,137666.875
-317485.5,206657.328125,-287690.875,16696.65234375,-346365.53125,137667.9375
-317444.125,206663.5,-287679.59375,16701.45703125,-346359.1875,137681.5
-317441.40625,206668.90625,-287687.125,16697.78125,-346337.625,137682.203125
-317444.4375,206653.34375,-287687.75,16679.9609375,-346344.53125,137671.84375
-317385.75,206678.0625,-287675.96875,16696.6484375,-346336.375,137671.875
-317371.0,206693.625,-287679.46875,16684.33203125,-346372.6875,137662.5
-317414.1875,206668.0625,-287707.125,16644.0078125,-346386.34375,137639.8125
-317417.78125,206662.125,-287709.3125,16642.61328125,-346345.28125,137627.328125
-317440.53125,206677.03125,-287681.75,16655.08984375,-346312.46875,137622.0
-317482.375,206699.296875,-287674.25,16665.517578125,-346306.21875,137616.25
-317494.25,206705.203125,-287675.375,16683.751953125,-346323.0,137628.671875
-317524.4375,206679.8125,-287707.875,16660.271484375,-346363.6875,137622.046875
-317534.84375,206632.625,-287734.25,16651.7734375,-346390.0,137619.734375
-317556.875,206583.75,-287776.78125,16627.5703125,-346425.6875,137593.34375
