FC6,C4,CP6,CP5,FC5,C3
-317501.1875,206448.40625,-288058.28125,16512.064453125,-345984.6875,136697.6875
-317501.09375,206479.03125,-287999.40625,16512.10546875,-345931.4375,136725.96875
-317493.25,206527.125,-287929.0625,16561.984375,-345891.6875,136772.53125
-317491.9375,206552.71875,-287920.625,16563.51171875,-345896.4375,136807.921875
-317498.28125,206534.34375,-287939.8125,16543.982421875,-345932.90625,136780.3125
-317531.3125,206507.25,-287958.3125,16522.80078125,-345957.03125,136741.65625
-317529.375,206498.4375,-287975.375,16510.45703125,-345974.90625,136731.234375
-317504.75,206481.453125,-287982.25,16530.01171875,-346002.6875,136699.96875
-317534.1875,206498.328125,-287952.9375,16541.255859375,-345985.125,136698.75
-317556.34375,206476.59375,-287969.4375,16542.326171875,-345995.875,136693.09375
-317570.84375,206452.3125,-287977.1875,16541.919921875,-346028.125,136672.40625
-317577.8125,206485.875,-287946.0625,16553.013671875,-346024.9375,136694.71875
-317597.6875,206513.625,-287919.75,16578.83203125,-346016.0625,136714.5
-317591.125,206538.078125,-287899.6875,16582.9453125,-346026.4375,136712.03125
-317556.4375,206555.15625,-287894.25,16584.947265625,-346011.4375,136701.1875
-317546.25,206559.65625,-287906.3125,16586.341796875,-345989.6875,136701.125
-317525.0,206545.59375,-287911.3125,16587.81640625,-345998.0,136693.46875
-317499.625,206549.15625,-287896.6875,16595.99609375,-345992.75,136708.09375
-317506.8125,206538.65625,-287896.875,16616.66796875,-345977.4375,136742.78125
-317507.4375,206504.859375,-287910.375,16625.12109375,-345981.375,136763.90625
-317512.75,206487.484375,-287940.90625,16602.142578125,-346002.8125,136748.0
-317544.15625,206477.015625,-287951.15625,16601.330078125,-345993.625,136739.078125
-317586.625,206466.140625,-287972.375,16598.033203125,-346009.6875,136724.9375
-317607.65625,206465.53125,-287983.15625,16588.47265625,-346041.0,136713.703125
-317590.15625,206488.78125,-287968.40625,16591.41796875,-346036.5625,136728.65625
-317568.125,206490.703125,-287960.8125,16608.60546875,-346021.46875,136706.28125
-317563.0,206435.4375,-287992.9375,16600.248046875,-346020.46875,136659.5625
-317539.875,206403.078125,-288017.8125,16586.552734375,-346017.1875,136637.140625
-317523.09375,206367.90625,-288005.375,16609.720703125,-346009.90625,136632.84375
-317567.8125,206326.0625,-288041.75,16614.359375,-346000.65625,136649.0
-317589.625,206307.78125,-288072.5625,16579.34765625,-346023.5625,136657.15625
