FC6,C4,CP6,CP5,FC5,C3
-319439.1875,200955.90625,-295029.6875,13786.99609375,-345330.8125,124428.1875
-319447.03125,200920.515625,-295041.40625,13789.19921875,-345361.96875,124405.0703125
-319487.4375,200868.265625,-295086.5625,13754.9443359375,-345394.8125,124366.5703125
-319488.5625,200848.59375,-295102.5,13791.09765625,-345382.6875,124372.046875
-319456.3125,200857.4375,-295083.625,13819.658203125,-345370.1875,124389.09375
-319452.4375,200838.875,-295097.46875,13835.1201171875,-345366.9375,124391.1953125
-319444.28125,200803.125,-295111.96875,13845.0654296875,-345377.25,124348.5
-319460.0,200757.6875,-295139.5625,13821.71875,-345389.5,124311.09375
-319523.15625,200714.40625,-295177.75,13784.19140625,-345430.6875,124286.3828125
-319548.40625,200694.71875,-295167.53125,13759.03515625,-345436.625,124285.484375
-319542.25,200685.203125,-295140.78125,13761.244140625,-345437.1875,124291.84375
-319561.59375,200690.234375,-295120.75,13755.2099609375,-345469.78125,124266.390625
-319576.34375,200680.375,-295117.6875,13740.650390625,-345496.3125,124223.1875
-319589.1875,200648.6875,-295112.125,13725.482421875,-345522.625,124155.453125
-319590.25,200656.15625,-295104.28125,13698.349609375,-345534.40625,124139.109375
-319552.65625,200705.203125,-295092.4375,13693.2822265625,-345535.875,124143.75
-319503.8125,200743.703125,-295074.71875,13705.365234375,-345510.1875,124137.34375
-319466.5,200802.8125,-295058.875,13718.4990234375,-345476.125,124161.125
-319440.9375,200828.59375,-295025.875,13736.9287109375,-345454.0625,124143.9453125
-319410.4375,200853.5,-294998.9375,13717.04296875,-345442.125,124118.5390625
-319413.3125,200893.59375,-294990.4375,13694.23828125,-345468.1875,124130.375
-319405.625,200944.640625,-294957.53125,13708.66015625,-345475.59375,124148.2734375
-319410.125,200984.28125,-294940.125,13702.5625,-345447.0625,124178.0
-319384.4375,200994.96875,-294922.78125,13705.703125,-345409.9375,124218.8203125
-319356.40625,201015.53125,-294921.125,13734.669921875,-345372.90625,124242.1640625
-319373.0,201011.703125,-294952.4375,13717.65234375,-345362.375,124252.375
-319366.28125,201006.0,-294980.1875,13695.38671875,-345377.5625,124261.71875
-319359.5625,201008.90625,-294974.9375,13724.8115234375,-345407.6875,124293.5625
-319350.4375,201012.765625,-294934.625,13735.330078125,-345399.71875,124307.15625
-319352.5625,200999.9375,-294907.3125,13739.533203125,-345377.03125,124305.421875
-319376.8125,201030.90625,-294888.875,13771.689453125,-345372.6875,124332.5390625
-319419.0,201041.4375,-294897.90625,13772.236328125,-345367.3125,124366.171875
-319457.4375,201007.953125,-294933.1875,13758.5126953125,-345355.9375,124376.6953125
-319454.5,201013.09375,-294946.0625,13774.619140625,-345352.0625,124400.7265625
-319422.5,201023.59375,-294942.5,13790.65234375,-345326.5,124430.1015625
-319411.28125,201027.765625,-294948.0,13802.720703125,-345294.9375,124440.1875
-319376.375,201032.078125,-294941.8125,13821.01171875,-345295.3125,124452.4375
-319369.625,201043.921875,-294937.75,13822.0546875,-345295.25,124480.09375
-319375.65625,201037.46875,-294936.75,13830.755859375,-345297.4375,124483.3203125
-319380.5625,201031.25,-294937.34375,13849.763671875,-345290.5625,124462.3203125
-319359.875,201061.703125,-294906.75,13875.3515625,-345271.4375,124477.375
-319344.5625,201077.703125,-294881.625,13891.998046875,-345275.9375,124492.5625
-319382.5,201065.71875,-294890.6875,13894.1953125,-345289.5,124503.5
-319362.875,201076.109375,-294910.21875,13875.9169921875,-345302.5625,124501.75
-319332.8125,201082.4375,-294913.625,13878.353515625,-345305.125,124477.875
-319316.0,201065.515625,-294921.28125,13877.8837890625,-345310.5,124477.953125
-319268.3125,201083.203125,-294944.1875,13851.4970703125,-345321.75,124473.578125
-319234.25,201098.09375,-294912.8125,13866.634765625,-345299.3125,124469.859375
-319257.03125,201078.453125,-294912.375,13843.580078125,-345291.71875,124480.5625
-319276.375,201050.625,-294930.4375,13814.37890625,-345307.25,124467.703125
-319279.4375,201020.40625,-294927.625,13809.0400390625,-345312.6875,124442.2890625
-319292.5625,201011.875,-294933.15625,13809.7265625,-345296.25,124462.0390625
-319312.5,201022.625,-294945.96875,13836.197265625,-345301.25,124489.703125
-319317.25,201013.0625,-294957.3125,13854.7177734375,-345296.5625,124491.71875
-319305.8125,200993.09375,-294955.5625,13857.4287109375,-345324.53125,124490.0546875
-319311.84375,200963.734375,-294970.5,13842.6005859375,-345357.90625,124478.03125
-319352.3125,200923.1875,-295017.8125,13809.1796875,-345369.21875,124442.0390625
-319388.4375,200889.4375,-295039.5625,13784.072265625,-345387.1875,124412.90625
-319417.5,200857.9375,-295041.53125,13785.23828125,-345370.8125,124406.21875
-319450.28125,200825.015625,-295059.65625,13783.5107421875,-345385.0625,124396.78125
-319476.6875,200793.9375,-295065.46875,13788.837890625,-345407.65625,124375.84375
-319507.3125,200767.25,-295081.09375,13791.8017578125,-345412.75,124316.21875
-319527.40625,200759.0,-295081.78125,13781.580078125,-345398.78125,124283.578125
-319548.125,200757.625,-295089.75,13761.640625,-345404.9375,124250.34375
-319541.40625,200748.234375,-295105.125,13741.43359375,-345419.78125,124231.1328125
-319506.1875,200774.609375,-295095.5,13711.96875,-345423.3125,124236.109375
-319479.8125,200804.015625,-295103.5,13697.7666015625,-345424.5,124217.0078125
-319446.9375,200820.796875,-295088.0625,13708.2001953125,-345431.4375,124211.2890625
-319412.875,200866.109375,-295046.8125,13718.81640625,-345419.5,124236.875
-319364.0625,200929.078125,-295008.28125,13760.068359375,-345377.8125,124282.5234375
-319343.9375,200950.453125,-294990.5625,13767.0244140625,-345353.875,124310.3515625
-319339.1875,200994.203125,-294969.375,13767.595703125,-345299.0625,124327.109375
-319311.3125,201051.65625,-294934.5,13777.69921875,-345268.3125,124354.5625
-319301.75,201070.0625,-294912.40625,13768.31640625,-345280.78125,124358.1875
-319285.5,201098.34375,-294910.0,13755.75390625,-345285.1875,124356.953125
-319259.25,201098.765625,-294903.46875,13738.416015625,-345286.75,124392.59375
-319230.5625,201109.0625,-294874.84375,13745.232421875,-345282.90625,124392.3125
-319213.125,201112.46875,-294875.84375,13753.11328125,-345276.8125,124384.359375
-319227.4375,201108.46875,-294892.59375,13750.89453125,-345282.53125,124390.6796875
-319270.3125,201087.84375,-294926.5,13732.966796875,-345323.03125,124365.359375
-319312.625,201036.3125,-294943.0,13714.7666015625,-345324.5,124341.390625
-319370.875,201018.0625,-294962.1875,13711.96875,-345292.875,124338.203125
-319435.21875,201013.90625,-294990.125,13706.716796875,-345272.03125,124334.890625
-319435.96875,201007.28125,-294996.53125,13724.9111328125,-345251.65625,124327.421875
-319436.71875,200983.75,-295030.3125,13746.046875,-345264.5625,124330.125
-319468.5625,200949.84375,-295059.125,13728.275390625,-345312.4375,124335.125
-319464.9375,200929.625,-295064.4375,13727.380859375,-345353.96875,124338.8125
-319444.53125,200915.53125,-295070.4375,13720.599609375,-345377.15625,124348.2890625
-319445.9375,200908.859375,-295078.21875,13700.119140625,-345390.1875,124348.796875
-319466.34375,200909.46875,-295105.1875,13706.650390625,-345392.21875,124362.078125
-319472.5625,200908.8125,-295108.28125,13725.3564453125,-345388.46875,124387.8515625
-319492.03125,200922.46875,-295100.5625,13745.36328125,-345389.28125,124400.953125
-319521.84375,200909.03125,-295129.8125,13739.28125,-345390.59375,124402.109375
-319482.28125,200907.8125,-295132.6875,13742.830078125,-345369.0625,124403.171875
-319433.4375,200912.21875,-295119.15625,13769.1943359375,-345342.625,124412.546875
-319450.6875,200883.4375,-295151.0625,13748.0048828125,-345345.8125,124405.6953125
-319458.5,200887.265625,-295161.9375,13719.0126953125,-345360.5625,124391.9140625
-319424.1875,200886.953125,-295155.0625,13696.646484375,-345360.5625,124406.4921875
-319437.5,200853.015625,-295165.375,13657.6611328125,-345359.8125,124399.390625
-319439.375,200871.984375,-295143.125,13676.2470703125,-345348.625,124393.7890625
-319437.875,200906.25,-295108.625,13712.658203125,-345345.0,124396.0
-319475.375,200892.09375,-295113.375,13705.0546875,-345355.3125,124363.484375
-319474.9375,200890.40625,-295116.8125,13714.4033203125,-345367.25,124345.71875
-319460.46875,200886.921875,-295120.5,13736.9033203125,-345370.6875,124351.015625
-319437.40625,200874.375,-295162.84375,13741.814453125,-345372.25,124352.1796875
-319428.90625,200868.71875,-295182.34375,13740.951171875,-345369.375,124349.8046875
-319434.4375,200855.15625,-295204.75,13739.4609375,-345374.0,124353.640625
-319441.3125,200823.578125,-295225.125,13700.81640625,-345361.6875,124319.875
-319458.65625,200810.875,-295205.34375,13698.208984375,-345367.0625,124322.109375
-319473.75,200824.546875,-295171.8125,13722.009765625,-345386.8125,124331.90625
-319476.875,200838.5,-295153.6875,13687.705078125,-345381.8125,124306.0
-319489.8125,200847.65625,-295141.9375,13692.7216796875,-345401.375,124308.296875
-319527.9375,200859.296875,-295132.25,13703.728515625,-345395.6875,124310.0625
-319543.65625,200856.359375,-295132.125,13686.26171875,-345392.9375,124285.640625
-319545.625,200862.453125,-295122.15625,13714.130859375,-345412.125,124281.765625
-319539.1875,200855.96875,-295110.53125,13710.453125,-345404.9375,124278.6875
-319502.4375,200851.390625,-295119.0625,13684.16796875,-345380.6875,124282.625
-319462.875,200883.3125,-295093.65625,13707.12890625,-345375.90625,124343.890625
-319449.78125,200908.15625,-295064.3125,13718.736328125,-345371.5625,124403.59375
-319446.34375,200927.21875,-295074.375,13717.619140625,-345387.6875,124421.15625
-319463.28125,200933.9375,-295066.9375,13733.16015625,-345404.8125,124419.2578125
-319482.78125,200938.765625,-295049.5,13741.501953125,-345379.625,124415.6640625
-319515.0625,200934.03125,-295071.8125,13736.96875,-345365.09375,124411.765625
-319529.3125,200930.671875,-295079.1875,13738.201171875,-345373.375,124411.9765625
-319511.75,200933.984375,-295088.1875,13753.4521484375,-345367.40625,124421.53125
-319493.3125,200936.34375,-295090.0,13750.783203125,-345371.28125,124428.1640625
-319461.75,200928.59375,-295074.0625,13752.0712890625,-345358.75,124417.40625
-319435.6875,200941.09375,-295056.875,13763.08203125,-345317.09375,124426.078125
-319443.0625,200932.59375,-295039.5,13745.814453125,-345343.78125,124431.0625
-319459.25,200915.875,-295052.3125,13726.166015625,-345367.65625,124421.09375
-319482.53125,200893.953125,-295080.3125,13712.7763671875,-345379.40625,124414.515625
-319497.6875,200873.40625,-295099.875,13725.4951171875,-345387.96875,124428.7890625
-319525.375,200870.0,-295095.8125,13730.048828125,-345380.90625,124434.453125
-319564.5625,200846.6875,-295127.1875,13718.59765625,-345385.09375,124402.0625
-319596.875,200817.28125,-295168.28125,13716.939453125,-345383.875,124389.765625
-319609.125,200803.71875,-295161.4375,13718.59765625,-345406.375,124379.3515625
-319589.875,200804.15625,-295172.5625,13723.57421875,-345430.0625,124375.171875
-319546.625,200804.0,-295186.0625,13741.8837890625,-345427.8125,124368.375
-319504.75,200831.25,-295162.1875,13748.4775390625,-345424.90625,124374.3125
-319524.6875,200820.265625,-295135.1875,13729.615234375,-345418.28125,124388.15625
-319533.0,200818.71875,-295146.125,13750.3857421875,-345408.90625,124405.734375
-319558.84375,200832.203125,-295157.625,13759.23828125,-345420.375,124426.53125
-319627.09375,200780.84375,-295181.625,13709.23046875,-345460.9375,124401.375
-319651.59375,200753.90625,-295230.6875,13680.7939453125,-345481.5,124372.7578125
-319665.28125,200724.203125,-295261.21875,13658.423828125,-345479.4375,124333.53125
-319687.4375,200689.96875,-295285.5,13642.033203125,-345514.5,124306.0625
-319686.90625,200688.21875,-295294.25,13641.390625,-345535.25,124296.75
-319693.1875,200687.625,-295313.625,13640.884765625,-345569.8125,124283.65625
-319707.6875,200670.953125,-295329.1875,13621.322265625,-345590.5625,124282.359375
-319716.5625,200654.90625,-295291.75,13650.00390625,-345572.40625,124296.203125
-319709.3125,200692.78125,-295240.78125,13706.541015625,-345521.625,124310.625
-319717.65625,200720.9375,-295204.0,13704.2783203125,-345463.59375,124303.703125
-319741.1875,200722.34375,-295185.0,13697.533203125,-345432.78125,124308.265625
-319708.0,200756.59375,-295189.125,13701.1796875,-345442.53125,124298.8828125
-319669.875,200783.0625,-295209.9375,13682.904296875,-345471.75,124293.34375
-319651.6875,200780.703125,-295229.75,13683.26953125,-345487.5625,124285.0
-319594.4375,200803.59375,-295190.65625,13721.51171875,-345475.28125,124286.9453125
-319548.75,200823.90625,-295142.5625,13727.74609375,-345442.96875,124304.828125
-319536.8125,200834.78125,-295108.875,13735.162109375,-345442.53125,124334.3125
-319518.40625,200847.9375,-295097.5625,13721.1669921875,-345432.46875,124352.25
-319529.8125,200856.53125,-295088.3125,13694.5546875,-345441.53125,124351.4140625
-319584.375,200881.125,-295094.1875,13700.8828125,-345465.09375,124359.609375
-319594.9375,200882.015625,-295085.5625,13721.5927734375,-345476.03125,124342.296875
-319567.375,200898.75,-295085.0625,13726.7939453125,-345476.375,124336.421875
-319537.25,200921.28125,-295105.25,13711.9580078125,-345464.03125,124348.625
-319532.09375,200890.25,-295124.28125,13686.76171875,-345444.8125,124320.046875
-319540.65625,200853.4375,-295137.0,13666.560546875,-345459.40625,124282.1640625
-319535.46875,200838.828125,-295129.34375,13669.91015625,-345496.5,124254.484375
-319556.53125,200783.03125,-295149.6875,13670.86328125,-345504.75,124200.828125
-319587.4375,200755.15625,-295170.125,13643.791015625,-345484.0625,124186.71875
-319594.375,200778.96875,-295174.0625,13652.5205078125,-345458.8125,124206.3046875
-319614.125,200785.859375,-295154.3125,13687.591796875,-345436.03125,124237.84375
-319622.5,200820.28125,-295089.5625,13715.3291015625,-345410.8125,124265.53125
-319600.71875,200833.765625,-295075.3125,13719.4296875,-345408.9375,124283.890625
-319594.21875,200815.03125,-295104.8125,13699.142578125,-345420.9375,124283.7578125
-319582.65625,200818.6875,-295113.375,13707.67578125,-345431.0625,124297.4375
-319565.21875,200813.0625,-295142.5,13693.2744140625,-345466.3125,124303.359375
-319553.875,200799.984375,-295150.15625,13693.5830078125,-345487.4375,124312.046875
-319550.53125,200810.234375,-295121.625,13699.89453125,-345483.9375,124345.90625
-319562.375,200815.609375,-295099.375,13691.0595703125,-345478.25,124355.09375
-319578.6875,200810.703125,-295118.625,13686.3740234375,-345491.5625,124360.3203125
-319600.09375,200816.453125,-295102.0,13687.2802734375,-345499.90625,124369.1796875
-319619.78125,200830.484375,-295096.9375,13715.48828125,-345504.3125,124394.4296875
-319613.3125,200836.421875,-295087.1875,13732.537109375,-345501.09375,124398.09375
-319594.40625,200847.8125,-295076.34375,13729.380859375,-345501.875,124401.6875
-319591.15625,200830.9375,-295091.8125,13729.251953125,-345534.4375,124408.125
-319571.0,200814.28125,-295110.5625,13724.376953125,-345515.6875,124383.8828125
-319549.8125,200809.5625,-295142.03125,13728.716796875,-345514.6875,124370.6484375
-319556.25,200814.8125,-295130.75,13729.580078125,-345520.1875,124360.2109375
-319532.15625,200827.40625,-295085.875,13717.1923828125,-345503.71875,124358.7109375
-319496.625,200867.125,-295020.4375,13711.318359375,-345521.0625,124383.359375
-319504.90625,200886.65625,-294997.9375,13701.3916015625,-345530.78125,124390.328125
-319524.0625,200885.375,-294999.875,13711.22265625,-345536.03125,124407.609375
-319505.375,200910.1875,-294992.96875,13752.8203125,-345540.5625,124425.53125
-319516.0,200915.1875,-295005.1875,13730.5888671875,-345546.375,124399.765625
-319525.53125,200895.359375,-295029.0625,13672.6005859375,-345542.9375,124368.21875
-319509.34375,200882.453125,-295052.65625,13661.96484375,-345533.5625,124359.5703125
-319480.6875,200885.65625,-295087.40625,13652.99609375,-345528.25,124348.703125
-319472.5625,200863.015625,-295105.3125,13668.41796875,-345528.5625,124352.7578125
-319488.0,200847.140625,-295071.1875,13691.669921875,-345530.59375,124388.765625
-319491.0,200860.28125,-295048.1875,13697.8896484375,-345520.53125,124406.9765625
-319519.90625,200878.46875,-295051.125,13720.3623046875,-345519.59375,124423.5390625
-319548.375,200865.015625,-295047.15625,13714.5185546875,-345515.46875,124407.484375
-319542.4375,200854.84375,-295062.5625,13721.4423828125,-345539.15625,124403.3203125
-319519.375,200857.28125,-295087.5,13728.26171875,-345549.96875,124382.890625
-319541.75,200819.625,-295101.53125,13689.138671875,-345561.28125,124328.65625
-319536.0625,200801.265625,-295096.40625,13677.73046875,-345564.1875,124322.8515625
-319517.1875,200815.84375,-295100.9375,13665.5771484375,-345544.5625,124313.0390625
-319577.53125,200775.9375,-295128.5625,13642.8857421875,-345565.875,124264.1796875
-319600.4375,200759.3125,-295116.375,13658.9189453125,-345581.9375,124253.84375
-319606.8125,200763.90625,-295086.125,13692.048828125,-345576.5,124265.7265625
-319610.5625,200751.46875,-295090.3125,13703.1181640625,-345586.75,124242.828125
-319610.53125,200762.6875,-295092.3125,13693.7509765625,-345604.875,124214.5
-319621.5625,200768.15625,-295106.34375,13666.828125,-345627.1875,124177.25
-319613.375,200745.9375,-295143.71875,13614.1689453125,-345662.0625,124136.5546875
-319637.75,200739.84375,-295132.4375,13625.0244140625,-345688.625,124106.4609375
-319607.9375,200740.4375,-295090.875,13639.48046875,-345704.15625,124114.25
-319590.4375,200715.609375,-295108.0,13596.3642578125,-345699.65625,124098.78125
-319622.4375,200705.4375,-295142.4375,13591.2353515625,-345696.65625,124071.7265625
-319611.6875,200696.03125,-295132.6875,13596.662109375,-345678.75,124100.96875
-319603.0625,200692.015625,-295118.09375,13598.7861328125,-345660.84375,124125.1796875
-319596.875,200721.609375,-295081.125,13644.828125,-345652.75,124166.828125
-319589.40625,200737.828125,-295052.3125,13667.8369140625,-345639.625,124210.53125
-319569.1875,200747.15625,-295052.625,13648.1103515625,-345622.59375,124215.703125
-319545.65625,200777.625,-295044.65625,13673.4619140625,-345585.53125,124267.875
-319511.8125,200778.640625,-295039.5625,13684.15625,-345565.375,124307.078125
-319480.9375,200785.421875,-295048.0625,13690.037109375,-345556.125,124326.46875
-319478.65625,200805.921875,-295060.75,13711.8935546875,-345553.28125,124352.515625
-319477.75,200772.125,-295071.0625,13684.7314453125,-345575.40625,124334.046875
-319492.8125,200742.5625,-295079.625,13672.3798828125,-345595.1875,124329.625
-319474.5,200769.890625,-295056.5,13705.9453125,-345590.8125,124356.03125
-319480.75,200772.0625,-295043.75,13727.62109375,-345602.90625,124367.359375
-319494.375,200769.5,-295036.8125,13761.587890625,-345579.5,124387.453125
-319478.625,200807.0,-295021.53125,13777.216796875,-345532.5,124427.1015625
-319492.1875,200785.390625,-295051.8125,13756.71875,-345523.0625,124417.125
-319516.5625,200740.53125,-295107.0625,13727.4921875,-345527.96875,124386.921875
-319493.625,200717.875,-295146.15625,13692.97265625,-345551.40625,124357.2890625
-319468.3125,200695.78125,-295131.125,13704.671875,-345559.65625,124340.5625
-319445.8125,200683.90625,-295116.8125,13706.8916015625,-345563.4375,124318.75
-319415.9375,200677.9375,-295103.1875,13684.6689453125,-345572.75,124285.265625
-319438.46875,200688.21875,-295095.0625,13686.095703125,-345571.9375,124278.6953125
-319498.84375,200680.34375,-295131.8125,13688.982421875,-345596.9375,124271.71875
-319541.0,200664.046875,-295159.25,13673.8251953125,-345616.6875,124256.484375
-319529.28125,200675.015625,-295164.0,13669.4189453125,-345603.96875,124284.15625
-319503.25,200694.03125,-295153.6875,13665.140625,-345598.125,124297.46875
-319465.875,200714.4375,-295139.5625,13655.3984375,-345596.8125,124260.1796875
-319446.15625,200722.34375,-295131.5,13655.208984375,-345590.6875,124250.7265625
-319446.125,200717.09375,-295139.6875,13653.05859375,-345597.75,124222.515625
-319453.875,200706.140625,-295151.8125,13647.6923828125,-345631.0,124180.125
-319462.9375,200723.9375,-295153.0625,13652.4970703125,-345641.28125,124169.4375
-319468.40625,200750.328125,-295124.0625,13665.1533203125,-345625.1875,124168.421875
-319493.625,200748.390625,-295102.875,13656.4501953125,-345635.4375,124172.546875
-319530.6875,200750.796875,-295113.59375,13650.794921875,-345652.5625,124164.3828125
-319521.15625,200717.890625,-295112.40625,13644.083984375,-345641.90625,124172.265625
-319506.6875,200698.703125,-295125.375,13633.96484375,-345653.75,124171.5078125
-319490.125,200726.8125,-295130.25,13647.109375,-345657.8125,124175.3125
