FC6,C4,CP6,CP5,FC5,C3
-318474.78125,204705.875,-289408.9375,15752.814453125,-345482.1875,133021.0625
-318493.875,204703.140625,-289427.875,15746.2080078125,-345482.0,133020.5
-318469.21875,204712.828125,-289445.25,15751.58203125,-345507.53125,133020.875
-318484.375,204682.234375,-289501.9375,15696.126953125,-345542.8125,132996.9375
-318479.0625,204645.984375,-289545.6875,15635.931640625,-345590.875,132973.203125
-318438.5,204652.4375,-289526.875,15648.7705078125,-345608.25,132976.84375
-318422.125,204637.8125,-289516.375,15657.533203125,-345598.3125,132968.6875
-318435.40625,204613.78125,-289506.625,15657.689453125,-345604.5625,132975.5625
-318445.0625,204641.1875,-289500.5625,15678.708984375,-345611.375,132991.9375
-318436.84375,204664.03125,-289493.6875,15694.947265625,-345601.625,132997.03125
-318467.5,204684.75,-289468.0625,15713.9453125,-345583.78125,133012.265625
-318483.4375,204715.53125,-289458.125,15725.8720703125,-345571.25,133014.4375
-318434.125,204743.6875,-289430.5,15752.9970703125,-345573.5625,133043.84375
-318390.6875,204750.9375,-289404.9375,15747.5947265625,-345566.6875,133072.6875
-318368.4375,204746.59375,-289416.59375,15715.958984375,-345547.25,133061.09375
-318307.78125,204759.5,-289406.4375,15721.888671875,-345546.4375,133062.71875
-318285.5,204735.421875,-289404.25,15710.10546875,-345557.96875,133030.546875
-318328.9375,204704.578125,-289424.0625,15666.470703125,-345586.96875,132988.3125
-318333.09375,204718.21875,-289439.71875,15660.33203125,-345621.6875,132964.765625
-318358.5,204752.625,-289417.375,15688.62890625,-345619.25,132967.5625
-318398.28125,204768.03125,-289395.1875,15672.513671875,-345584.25,132967.453125
-318425.5625,204739.84375,-289428.4375,15654.0732421875,-345586.9375,132942.8125
-318403.3125,204731.515625,-289427.96875,15669.9716796875,-345578.1875,132951.046875
-318364.5625,204738.875,-289436.0625,15674.6689453125,-345574.5,132947.078125
-318348.40625,204724.921875,-289444.78125,15673.908203125,-345581.6875,132926.84375
-318296.6875,204726.203125,-289445.0,15675.279296875,-345578.1875,132905.65625
-318268.25,204721.234375,-289435.375,15683.896484375,-345560.5,132907.0
-318284.78125,204696.53125,-289459.09375,15716.166015625,-345543.3125,132918.65625
-318311.03125,204681.65625,-289500.4375,15717.396484375,-345540.3125,132919.609375
-318350.03125,204671.890625,-289506.5625,15690.451171875,-345539.8125,132937.53125
-318410.125,204671.34375,-289523.8125,15686.7646484375,-345554.875,132932.09375
-318433.6875,204652.125,-289557.125,15658.36328125,-345574.625,132906.078125
-318410.0625,204640.9375,-289571.4375,15656.6611328125,-345590.5,132890.78125
-318404.28125,204666.765625,-289554.0625,15706.310546875,-345588.03125,132920.453125
-318381.75,204661.71875,-289556.8125,15689.640625,-345586.4375,132918.84375
-318349.375,204662.25,-289561.3125,15654.72265625,-345582.5,132910.90625
-318348.9375,204681.8125,-289564.0,15655.609375,-345581.5625,132920.65625
-318359.5625,204688.15625,-289574.40625,15659.322265625,-345601.875,132915.59375
-318383.40625,204648.671875,-289597.03125,15638.5,-345635.5,132904.28125
-318399.9375,204637.9375,-289585.90625,15631.701171875,-345639.5625,132905.0625
-318412.375,204642.15625,-289550.59375,15654.236328125,-345626.8125,132925.515625
-318454.0625,204631.078125,-289575.5,15637.8984375,-345644.6875,132906.5625
-318462.34375,204628.40625,-289600.8125,15618.4609375,-345652.0625,132881.53125
-318471.9375,204597.90625,-289632.0,15621.21484375,-345678.5625,132835.953125
-318464.625,204590.078125,-289661.25,15601.951171875,-345715.28125,132812.625
-318426.1875,204584.609375,-289660.1875,15581.6650390625,-345720.5625,132809.1875
-318406.8125,204595.296875,-289621.8125,15595.2841796875,-345696.875,132803.203125
-318426.65625,204596.0,-289589.78125,15614.84375,-345681.0625,132840.765625
-318471.65625,204579.53125,-289598.25,15607.53515625,-345694.0625,132851.0625
-318509.625,204584.4375,-289588.1875,15625.1494140625,-345663.78125,132870.0625
-318528.59375,204614.5,-289569.09375,15671.322265625,-345619.6875,132933.59375
-318531.5625,204638.03125,-289551.375,15677.87890625,-345596.59375,132932.25
-318511.4375,204628.0,-289530.625,15672.3046875,-345567.0,132929.578125
-318497.15625,204632.125,-289536.3125,15695.1875,-345559.5625,132948.953125
-318524.03125,204610.453125,-289582.0625,15671.7265625,-345572.65625,132923.453125
-318504.59375,204592.140625,-289608.3125,15644.92578125,-345609.625,132931.75
-318492.53125,204583.9375,-289601.6875,15656.9375,-345630.375,132941.90625
-318474.875,204599.890625,-289562.65625,15678.34375,-345619.1875,132978.8125
-318436.78125,204647.28125,-289498.09375,15700.9873046875,-345623.0625,133000.453125
-318466.1875,204654.640625,-289507.0625,15683.6923828125,-345641.625,133006.34375
-318520.71875,204653.875,-289530.625,15669.23046875,-345654.1875,133015.6875
-318548.6875,204634.71875,-289548.1875,15647.8642578125,-345681.0,132985.96875
-318563.0,204600.125,-289571.8125,15639.990234375,-345686.40625,132978.46875
-318555.4375,204612.84375,-289551.75,15665.7451171875,-345670.0,132994.40625
-318505.5625,204626.578125,-289545.3125,15697.4169921875,-345653.9375,133002.5625
-318453.15625,204629.390625,-289526.125,15712.6513671875,-345618.375,133000.546875
-318435.65625,204629.0625,-289523.375,15697.7236328125,-345625.21875,132994.78125
-318449.40625,204626.96875,-289541.1875,15699.03515625,-345647.3125,132974.46875
-318464.5625,204649.03125,-289524.1875,15707.7392578125,-345638.75,132975.21875
-318491.3125,204659.171875,-289501.3125,15707.869140625,-345614.6875,132980.53125
-318567.65625,204643.96875,-289514.03125,15701.1484375,-345642.125,132958.15625
