FC6,C4,CP6,CP5,FC5,C3
-317284.15625,207158.640625,-287476.3125,16974.419921875,-346804.71875,138410.234375
-317264.9375,207170.0,-287454.3125,16960.525390625,-346818.65625,138418.53125
-317263.75,207190.78125,-287457.46875,16974.013671875,-346807.9375,138453.46875
-317276.875,207200.40625,-287485.875,16999.5703125,-346802.0,138481.21875
-317283.3125,207197.078125,-287503.0625,17013.26953125,-346807.21875,138469.265625
-317270.75,207205.375,-287493.25,17014.13671875,-346801.84375,138453.21875
-317246.5,207198.6875,-287502.40625,16998.734375,-346798.46875,138421.484375
-317218.15625,207181.96875,-287512.90625,16974.4140625,-346818.40625,138391.515625
-317213.90625,207176.875,-287488.0,16961.34375,-346805.625,138400.375
-317246.4375,207156.34375,-287497.1875,16949.16015625,-346795.3125,138402.15625
-317269.03125,207152.0625,-287521.0,16932.3125,-346769.4375,138391.15625
-317267.15625,207165.703125,-287516.1875,16923.798828125,-346721.375,138387.34375
-317293.21875,207147.375,-287509.4375,16934.9375,-346734.5625,138374.8125
-317302.0625,207112.53125,-287512.3125,16924.96875,-346738.53125,138346.09375
-317306.5,207091.578125,-287550.0,16899.52734375,-346758.0,138313.84375
-317308.4375,207076.40625,-287582.625,16889.890625,-346792.40625,138298.71875
-317284.125,207054.96875,-287584.375,16890.46875,-346805.4375,138277.15625
-317268.3125,207021.96875,-287604.5,16902.11328125,-346825.1875,138259.8125
-317277.6875,206997.875,-287615.5625,16887.890625,-346833.28125,138253.59375
-317304.1875,206979.140625,-287594.09375,16888.03125,-346830.875,138256.765625
-317321.03125,206972.15625,-287585.34375,16887.57421875,-346802.0625,138255.625
-317331.9375,207010.453125,-287573.78125,16866.5234375,-346774.125,138267.59375
-317356.875,207005.671875,-287552.34375,16868.53515625,-346768.53125,138249.0
-317376.15625,206990.125,-287528.03125,16849.615234375,-346765.4375,138225.0625
-317358.875,207019.34375,-287502.65625,16862.9609375,-346766.625,138241.96875
-317345.25,207025.59375,-287505.8125,16878.23046875,-346759.53125,138229.203125
-317313.9375,207018.796875,-287515.5625,16878.5546875,-346758.8125,138229.640625
-317267.9375,207017.09375,-287534.4375,16889.265625,-346736.53125,138258.40625
-317268.78125,207014.8125,-287553.0625,16892.51953125,-346709.875,138267.96875
-317291.90625,206993.03125,-287562.65625,16899.25390625,-346725.4375,138279.984375
-317307.625,207008.40625,-287552.25,16921.07421875,-346744.125,138302.953125
-317325.15625,207048.03125,-287516.8125,16950.861328125,-346733.1875,138314.84375
